HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	376.9032
DEPTH_LSF	GR
m	gAPI
139.0068	58.9103
139.1592	58.4412
139.3116	60.6413
139.4640	60.9514
139.6164	61.4738
139.7688	61.1140
139.9212	62.6019
140.0736	64.1681
140.2260	63.8722
140.3784	62.2480
140.5308	62.0191
140.6832	63.1174
140.8356	63.9530
140.9880	61.9764
141.1404	61.3621
141.2928	62.1524
141.4452	64.2464
141.5976	62.7154
141.7500	63.2189
141.9024	60.9057
142.0548	59.8511
142.2072	57.4390
142.3596	58.3025
142.5120	59.0051
142.6644	59.1514
142.8168	60.3389
142.9692	60.9980
143.1216	61.3311
143.2740	58.8410
143.4264	59.4371
143.5788	59.1740
143.7312	59.6511
143.8836	58.9118
144.0360	59.2707
144.1884	59.3096
144.3408	61.1395
144.4932	61.1308
144.6456	61.6422
144.7980	60.9702
144.9504	62.8953
145.1028	64.5440
145.2552	63.9014
145.4076	65.1439
145.5600	63.4837
145.7124	67.1397
145.8648	64.4324
146.0172	61.9469
146.1696	57.4354
146.3220	58.6032
146.4744	63.8828
146.6268	66.4827
146.7792	64.3001
146.9316	63.7084
147.0840	64.3090
147.2364	64.7396
147.3888	62.9097
147.5412	61.0047
147.6936	60.8538
147.8460	59.8525
147.9984	60.5107
148.1508	60.1356
148.3032	59.3047
148.4556	59.3702
148.6080	61.5812
148.7604	65.3372
148.9128	66.4689
149.0652	65.0756
149.2176	62.5073
149.3700	62.0447
149.5224	60.8021
149.6748	59.3417
149.8272	57.6010
149.9796	59.2765
150.1320	60.4665
150.2844	61.1814
150.4368	60.8534
150.5892	62.4561
150.7416	62.0140
150.8940	64.7575
151.0464	61.5066
151.1988	61.9306
151.3512	59.4523
151.5036	60.5523
151.6560	59.1819
151.8084	59.3795
151.9608	62.3149
152.1132	61.9219
152.2656	60.0563
152.4180	59.8718
152.5704	61.7643
152.7228	63.0777
152.8752	62.8208
153.0276	59.3357
153.1800	56.3158
153.3324	52.7225
153.4848	54.4036
153.6372	54.9435
153.7896	56.7741
153.9420	56.4372
154.0944	57.7269
154.2468	57.7201
154.3992	57.7237
154.5516	57.7261
154.7040	55.1718
154.8564	54.7957
155.0088	56.1347
155.1612	56.7727
155.3136	55.5246
155.4660	55.2876
155.6184	55.7459
155.7708	60.1989
155.9232	59.9170
156.0756	60.2131
156.2280	60.5276
156.3804	60.0729
156.5328	59.8693
156.6852	56.7564
156.8376	54.0099
156.9900	54.2861
157.1424	52.6377
157.2948	54.5630
157.4472	53.6141
157.5996	54.8910
157.7520	52.7786
157.9044	53.2715
158.0568	52.8142
158.2092	54.4328
158.3616	51.8069
158.5140	49.3546
158.6664	44.9319
158.8188	46.3622
158.9712	49.0761
159.1236	52.8882
159.2760	51.9737
159.4284	50.1502
159.5808	49.5917
159.7332	50.6935
159.8856	55.1864
160.0380	57.3967
160.1904	56.6511
160.3428	52.8047
160.4952	50.0564
160.6476	52.0820
160.8000	54.1825
160.9524	57.7137
161.1048	59.5051
161.2572	60.2574
161.4096	59.5322
161.5620	58.5875
161.7144	57.1222
161.8668	54.9176
162.0192	53.1566
162.1716	52.0384
162.3240	53.8819
162.4764	54.2458
162.6288	54.1504
162.7812	50.8401
162.9336	50.6574
163.0860	49.8450
163.2384	52.7191
163.3908	52.9065
163.5432	54.3683
163.6956	54.2832
163.8480	55.1979
164.0004	56.0748
164.1528	57.1662
164.3052	56.0059
164.4576	56.8658
164.6100	55.6527
164.7624	57.9776
164.9148	60.1870
165.0672	62.5068
165.2196	61.8871
165.3720	61.1414
165.5244	58.4621
165.6768	57.9121
165.8292	54.8902
165.9816	55.7289
166.1340	57.7472
166.2864	57.8355
166.4388	59.0589
166.5912	54.6649
166.7436	54.1221
166.8960	47.7834
167.0484	45.4587
167.2008	48.2986
167.3532	54.5183
167.5056	62.3399
167.6580	61.8015
167.8104	58.7883
167.9628	55.1244
168.1152	55.6396
168.2676	57.4638
168.4200	58.7443
168.5724	57.2185
168.7248	61.3522
168.8772	60.2912
169.0296	61.0212
169.1820	59.4240
169.3344	61.3938
169.4868	62.3624
169.6392	59.7952
169.7916	58.8774
169.9440	58.2782
170.0964	58.0296
170.2488	58.6773
170.4012	56.4831
170.5536	55.8477
170.7060	55.6286
170.8584	57.1505
171.0108	57.8905
171.1632	54.1604
171.3156	53.2893
171.4680	53.7437
171.6204	56.7519
171.7728	55.7350
171.9252	56.8244
172.0776	58.1590
172.2300	61.0732
172.3824	62.1187
172.5348	60.1725
172.6872	60.4493
172.8396	55.3244
172.9920	57.1449
173.1444	55.0476
