HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	351.7572
DEPTH_LSF	RHOB	DRHO	DRRT	PEF
m	g/cm3	g/cm3	g/cm3	barns/e-
34.9176	1.4780	0.0785	0.2436	2.5029
35.0700	1.4298	0.0783	0.1770	2.4372
35.2224	1.3819	0.0685	0.1148	2.5044
35.3748	1.3903	0.0667	0.0768	2.3292
35.5272	1.4245	0.0682	0.0734	2.5280
35.6796	1.4525	0.0773	0.0822	2.4554
35.8320	1.4466	0.0857	0.1072	2.5387
35.9844	1.4514	0.0884	0.1267	2.5132
36.1368	1.4917	0.0965	0.1112	2.5967
36.2892	1.5283	0.0952	0.1497	2.6318
36.4416	1.5552	0.1010	0.1552	2.6489
36.5940	1.5692	0.1102	0.1685	2.6554
36.7464	1.5687	0.1041	0.1919	2.7355
36.8988	1.5727	0.0988	0.2610	2.8083
37.0512	1.5755	0.0882	0.3007	2.8747
37.2036	1.6016	0.0992	0.3248	2.8359
37.3560	1.6187	0.1073	0.2840	2.7908
37.5084	1.6222	0.1177	0.2318	2.6657
37.6608	1.6195	0.1243	0.2181	2.8002
37.8132	1.6089	0.1277	0.2115	2.8493
37.9656	1.5912	0.1224	0.2127	2.8720
38.1180	1.5876	0.1179	0.1515	2.6260
38.2704	1.5961	0.1157	0.1425	2.5726
38.4228	1.6123	0.1202	0.1486	2.6586
38.5752	1.5999	0.1166	0.2046	2.7744
38.7276	1.5858	0.1175	0.1993	2.7054
38.8800	1.5785	0.1220	0.1905	2.6593
39.0324	1.5755	0.1269	0.1746	2.5661
39.1848	1.5669	0.1295	0.1910	2.6604
39.3372	1.5439	0.1232	0.1769	2.7246
39.4896	1.5250	0.1211	0.1697	2.7383
39.6420	1.5195	0.1184	0.1509	2.6437
39.7944	1.5165	0.1121	0.1794	2.5766
39.9468	1.5333	0.1121	0.1943	2.5833
40.0992	1.5402	0.1093	0.1771	2.6209
40.2516	1.5751	0.1207	0.1544	2.6732
40.4040	1.6052	0.1253	0.1242	2.7653
40.5564	1.6297	0.1273	0.1132	2.8430
40.7088	1.5840	0.1114	0.0853	2.7673
40.8612	1.5126	0.1004	0.0306	2.6821
41.0136	1.4550	0.0961	0.0398	2.6028
41.1660	1.4501	0.1004	0.0755	2.6327
41.3184	1.4827	0.0995	0.1084	2.7269
41.4708	1.5344	0.0978	0.1780	2.7802
41.6232	1.5687	0.0864	0.2674	2.7372
41.7756	1.5912	0.0837	0.3259	2.7618
41.9280	1.6091	0.0857	0.3021	2.6616
42.0804	1.6283	0.0923	0.2684	2.8484
42.2328	1.6415	0.1010	0.2556	2.7590
42.3852	1.6397	0.1000	0.2573	2.7309
42.5376	1.6359	0.0995	0.2587	2.6553
42.6900	1.6180	0.0920	0.3034	2.6642
42.8424	1.5975	0.0886	0.3549	2.7453
42.9948	1.5845	0.0877	0.3614	2.6078
43.1472	1.5774	0.0859	0.3092	2.5210
43.2996	1.5716	0.0957	0.2218	2.3767
43.4520	1.5831	0.1114	0.1798	2.4647
43.6044	1.5903	0.1182	0.1381	2.5326
43.7568	1.5993	0.1150	0.1165	2.6592
43.9092	1.6008	0.1092	0.0845	2.5764
44.0616	1.6044	0.1023	0.1089	2.6701
44.2140	1.6392	0.1104	0.1835	2.8029
44.3664	1.6562	0.1057	0.2459	3.0807
44.5188	1.6677	0.1182	0.2157	3.0276
44.6712	1.6371	0.1174	0.1274	2.9222
44.8236	1.6139	0.1248	0.0510	2.7568
44.9760	1.5805	0.1152	0.1061	2.6320
45.1284	1.5620	0.1018	0.1447	2.7350
45.2808	1.5650	0.0982	0.1603	2.8391
45.4332	1.5816	0.0926	0.1686	2.9512
45.5856	1.6019	0.1030	0.1414	2.8613
45.7380	1.6078	0.0908	0.1071	2.7696
45.8904	1.6281	0.0792	0.2011	2.7867
46.0428	1.6333	0.0613	0.2953	2.7760
46.1952	1.6328	0.0634	0.3441	2.7725
46.3476	1.6289	0.0717	0.3785	2.8671
46.5000	1.6289	0.0688	0.3684	2.9332
46.6524	1.6278	0.0613	0.3881	2.9404
46.8048	1.6256	0.0616	0.4099	2.8454
46.9572	1.6327	0.0751	0.4073	2.8374
47.1096	1.6356	0.0854	0.3391	2.8883
47.2620	1.6327	0.0869	0.2279	2.9095
47.4144	1.6154	0.0735	0.1737	2.9099
47.5668	1.6032	0.0679	0.1889	2.8513
47.7192	1.5989	0.0729	0.2013	2.8151
47.8716	1.6122	0.0829	0.1584	2.8866
48.0240	1.6287	0.0893	0.1425	2.9731
48.1764	1.6543	0.0892	0.1714	3.1368
48.3288	1.6580	0.0802	0.1381	3.1920
48.4812	1.6638	0.0815	0.1263	3.3369
48.6336	1.6559	0.0849	0.1125	3.1840
48.7860	1.6529	0.0919	0.1149	3.1462
48.9384	1.6643	0.0980	0.1017	3.1087
49.0908	1.6739	0.1000	0.1216	3.0919
49.2432	1.6789	0.1016	0.1464	2.9220
49.3956	1.6639	0.0955	0.1656	2.7608
49.5480	1.6605	0.0987	0.1605	2.7716
49.7004	1.6478	0.0927	0.1566	2.8328
49.8528	1.6514	0.0928	0.1425	2.9071
50.0052	1.6527	0.0829	0.1617	3.0028
50.1576	1.6612	0.0793	0.1927	2.9869
50.3100	1.6478	0.0807	0.2262	2.9896
50.4624	1.6058	0.0788	0.2558	2.9717
50.6148	1.5582	0.0741	0.2429	2.9688
50.7672	1.5245	0.0830	0.2119	2.8435
50.9196	1.4876	0.0847	0.1359	2.6775
51.0720	1.4821	0.0961	0.1220	2.6751
51.2244	1.4897	0.0953	0.1450	2.7818
51.3768	1.5171	0.0917	0.2087	2.8890
51.5292	1.5437	0.0900	0.2219	2.8913
51.6816	1.5706	0.0909	0.2073	2.8734
51.8340	1.6092	0.0999	0.1682	2.7731
51.9864	1.6361	0.0997	0.1780	2.7839
52.1388	1.6635	0.0980	0.1991	2.8452
52.2912	1.6869	0.0989	0.2213	3.0202
52.4436	1.7081	0.1049	0.1903	3.0340
52.5960	1.6954	0.0966	0.1514	2.8957
52.7484	1.6820	0.1003	0.1183	2.7287
52.9008	1.6596	0.1011	0.1234	2.7519
53.0532	1.6512	0.1092	0.1252	2.7452
53.2056	1.6410	0.1040	0.0774	2.7647
53.3580	1.6386	0.0963	0.0641	2.7111
53.5104	1.6313	0.0803	0.1111	2.6938
53.6628	1.6394	0.0773	0.1204	2.7546
53.8152	1.6583	0.0815	0.2390	2.7761
53.9676	1.6856	0.0869	0.2973	2.9355
54.1200	1.6967	0.0789	0.2748	2.9612
54.2724	1.7032	0.0744	0.1929	2.9123
54.4248	1.6974	0.0625	0.1436	2.8282
54.5772	1.7077	0.0753	0.1314	2.9220
54.7296	1.7032	0.0812	0.1301	3.0725
54.8820	1.6895	0.0936	0.1583	3.1263
55.0344	1.6630	0.0880	0.1367	3.0421
55.1868	1.6544	0.0752	0.1256	2.9980
55.3392	1.6515	0.0721	0.1309	2.9870
55.4916	1.6408	0.0765	0.1372	2.8234
55.6440	1.6084	0.0758	0.1185	2.7680
55.7964	1.5867	0.0827	0.0896	2.6358
55.9488	1.5669	0.0776	0.1004	2.8229
