HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	380.1036
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
4.7119	0.7704	0.6320	0.5146	0.7025	0.6965
4.7424	0.7112	0.5651	0.5182	0.6883	0.6948
4.7729	0.6607	0.5454	0.4534	0.6866	0.6941
4.8034	0.6265	0.5958	0.4599	0.6951	0.6947
4.8338	0.6877	0.6491	0.5436	0.7033	0.6945
4.8643	0.7151	0.6607	0.6058	0.6992	0.6962
4.8948	0.7128	0.5939	0.5143	0.7283	0.7107
4.9253	0.7007	0.5786	0.4418	0.6840	0.7031
4.9558	0.6833	0.6406	0.4235	0.6912	0.7029
4.9862	0.7433	0.7256	0.4365	0.7067	0.7128
5.0167	0.7630	0.6936	0.5002	0.7160	0.6987
5.0472	0.7354	0.6115	0.6101	0.7126	0.7086
5.0777	0.6843	0.5605	0.5581	0.7448	0.7184
5.1082	0.7142	0.5610	0.4752	0.7290	0.7135
5.1386	0.7956	0.6571	0.4550	0.7244	0.7109
5.1691	0.8242	0.7238	0.4870	0.7346	0.7357
5.1996	0.7710	0.6753	0.5574	0.6972	0.7220
5.2301	0.7356	0.6040	0.5370	0.7396	0.7194
5.2606	0.7238	0.5873	0.4813	0.7560	0.7252
5.2910	0.7005	0.6417	0.4770	0.7496	0.7200
5.3215	0.7885	0.6733	0.5403	0.7383	0.7263
5.3520	0.8261	0.6695	0.5827	0.7237	0.7274
5.3825	0.7631	0.6354	0.5197	0.7220	0.7222
5.4130	0.7113	0.6428	0.5048	0.7215	0.7265
5.4434	0.7083	0.7016	0.5546	0.7467	0.7387
5.4739	0.7470	0.7213	0.5734	0.7485	0.7180
5.5044	0.8016	0.6610	0.5371	0.7383	0.7470
5.5349	0.7851	0.6425	0.5026	0.7449	0.7272
5.5654	0.7433	0.6823	0.5168	0.7403	0.7293
5.5958	0.7655	0.7145	0.5297	0.7626	0.7340
5.6263	0.8220	0.6866	0.4926	0.7580	0.7325
5.6568	0.8171	0.6455	0.4324	0.7618	0.7211
5.6873	0.7395	0.6664	0.5299	0.7574	0.7288
5.7178	0.7602	0.6862	0.5484	0.7502	0.7291
5.7482	0.7759	0.6631	0.4986	0.7661	0.7347
5.7787	0.7792	0.5809	0.4522	0.7449	0.7441
5.8092	0.7628	0.6560	0.4750	0.7747	0.7523
5.8397	0.7226	0.7007	0.5734	0.7555	0.7826
5.8702	0.7705	0.6749	0.5880	0.7541	0.7816
5.9006	0.8019	0.6292	0.4772	0.7612	0.7786
5.9311	0.7772	0.6527	0.4465	0.7622	0.8140
5.9616	0.7106	0.7463	0.5379	0.7543	0.7743
5.9921	0.7463	0.7599	0.6067	0.7643	0.7981
6.0226	0.8043	0.6673	0.5054	0.7728	0.7989
6.0530	0.8075	0.6244	0.4939	0.7736	0.8019
6.0835	0.7784	0.6873	0.4789	0.7675	0.8010
6.1140	0.7628	0.7820	0.4728	0.7961	0.7975
6.1445	0.7821	0.7026	0.5095	0.7874	0.7958
6.1750	0.8188	0.6706	0.4889	0.7767	0.8049
6.2054	0.7862	0.6699	0.4597	0.7796	0.7937
6.2359	0.7579	0.6476	0.5170	0.7874	0.7911
6.2664	0.8032	0.6692	0.5801	0.7873	0.7953
6.2969	0.8614	0.6768	0.5256	0.7766	0.7885
6.3274	0.8071	0.6529	0.4720	0.7745	0.7921
6.3578	0.7562	0.6964	0.5323	0.7788	0.8061
6.3883	0.7884	0.8308	0.5043	0.7815	0.7937
6.4188	0.7730	0.8085	0.4711	0.7801	0.7919
