HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	351.7572
DEPTH_LSF	DCAL
m	in
92.8296	0.1158
92.9820	0.0515
93.1344	0.0808
93.2868	0.1117
93.4392	0.1239
93.5916	0.1320
93.7440	0.0878
93.8964	0.0815
94.0488	0.0660
94.2012	0.1510
94.3536	0.1916
94.5060	0.1809
94.6584	0.1769
94.8108	0.1537
94.9632	0.1629
95.1156	0.1471
95.2680	0.1919
95.4204	0.1540
95.5728	0.0742
95.7252	0.0896
95.8776	0.2029
96.0300	0.2527
96.1824	0.2145
96.3348	0.1229
96.4872	0.0821
96.6396	0.0906
96.7920	0.1753
96.9444	0.2139
97.0968	0.1571
97.2492	0.1162
97.4016	0.1877
97.5540	0.2760
97.7064	0.3379
97.8588	0.2808
98.0112	0.1124
98.1636	0.1196
98.3160	0.1713
98.4684	0.1591
98.6208	0.2191
98.7732	0.2776
98.9256	0.2303
99.0780	0.1524
99.2304	0.0917
99.3828	0.0894
99.5352	0.1245
99.6876	0.1421
99.8400	0.0844
99.9924	0.1379
100.1448	0.1629
100.2972	0.2385
100.4496	0.2448
100.6020	0.1294
100.7544	0.0323
100.9068	0.0940
101.0592	0.0541
101.2116	0.1968
101.3640	0.2859
101.5164	0.2873
101.6688	0.1860
101.8212	0.1133
101.9736	0.1023
102.1260	0.2091
102.2784	0.2710
102.4308	0.1610
102.5832	0.0814
102.7356	0.1026
102.8880	0.1348
103.0404	0.1319
103.1928	0.1046
103.3452	0.0971
103.4976	0.1513
103.6500	0.1499
103.8024	0.1959
103.9548	0.2457
104.1072	0.2995
104.2596	0.3372
104.4120	0.2509
104.5644	0.1488
104.7168	0.1145
104.8692	0.1441
105.0216	0.1542
105.1740	0.1478
105.3264	0.1733
105.4788	0.2263
105.6312	0.1948
105.7836	0.2055
105.9360	0.1775
106.0884	0.1730
106.2408	0.1458
106.3932	0.1414
106.5456	0.0439
106.6980	0.0767
106.8504	0.1339
107.0028	0.1841
107.1552	0.2369
107.3076	0.2135
107.4600	0.2991
107.6124	0.2561
107.7648	0.2294
107.9172	0.0958
108.0696	0.0975
108.2220	0.1180
108.3744	0.0841
108.5268	0.0976
108.6792	0.0981
108.8316	0.1466
108.9840	0.1224
109.1364	0.1111
109.2888	0.0955
109.4412	0.0523
109.5936	0.0742
109.7460	0.0476
109.8984	0.1094
110.0508	0.1643
110.2032	0.2549
110.3556	0.2513
110.5080	0.2258
110.6604	0.1467
110.8128	0.1390
110.9652	0.1211
111.1176	0.0854
111.2700	0.1076
111.4224	0.2477
111.5748	0.2946
111.7272	0.4116
111.8796	0.2992
112.0320	0.2789
112.1844	0.1530
112.3368	0.1753
112.4892	0.2133
112.6416	0.1819
112.7940	0.2689
112.9464	0.2032
113.0988	0.2404
113.2512	0.2072
113.4036	0.1994
113.5560	0.1240
113.7084	0.1034
113.8608	0.0825
114.0132	0.1591
114.1656	0.1366
114.3180	0.1692
114.4704	0.1481
114.6228	0.1286
114.7752	0.0924
114.9276	0.1119
115.0800	0.1141
115.2324	0.1391
115.3848	0.1351
115.5372	0.0935
115.6896	0.0822
115.8420	0.1275
115.9944	0.1380
116.1468	0.1207
116.2992	0.0937
116.4516	0.1372
116.6040	0.1267
116.7564	0.1468
116.9088	0.1588
117.0612	0.1558
117.2136	0.2130
117.3660	0.1061
117.5184	0.1244
117.6708	0.1431
117.8232	0.1118
117.9756	0.1139
118.1280	0.1117
118.2804	0.1034
118.4328	0.1861
118.5852	0.2386
118.7376	0.1896
118.8900	0.1236
119.0424	0.0933
119.1948	0.0999
119.3472	0.0961
119.4996	0.1238
119.6520	0.1200
119.8044	0.1228
119.9568	0.1395
120.1092	0.1021
120.2616	0.1327
120.4140	0.1433
