HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	350.6904
DEPTH_LSF	TNPH
m	%
80.3328	68.9870
80.4852	67.2361
80.6376	64.7389
80.7900	65.8811
80.9424	62.8176
81.0948	62.9819
81.2472	64.0518
81.3996	64.2915
81.5520	62.8618
81.7044	61.9239
81.8568	60.5613
82.0092	57.6347
82.1616	55.2814
82.3140	53.7482
82.4664	60.1200
82.6188	63.5122
82.7712	68.4993
82.9236	59.7076
83.0760	60.9998
83.2284	59.3082
83.3808	61.6317
83.5332	61.1911
83.6856	62.1877
83.8380	64.2574
83.9904	58.4573
84.1428	58.2138
84.2952	55.9342
84.4476	57.8782
84.6000	57.3954
84.7524	60.6880
84.9048	58.4156
85.0572	58.8279
85.2096	57.6936
85.3620	61.9821
85.5144	63.8734
85.6668	60.9468
85.8192	60.5472
85.9716	58.7460
86.1240	57.5910
86.2764	56.2863
86.4288	56.7263
86.5812	65.0133
86.7336	66.9237
86.8860	66.9934
87.0384	61.4686
87.1908	63.2415
87.3432	61.9303
87.4956	59.6063
87.6480	59.6466
87.8004	58.4724
87.9528	60.1376
88.1052	58.4744
88.2576	65.0393
88.4100	66.3481
88.5624	63.5700
88.7148	59.4567
88.8672	58.2157
89.0196	62.2855
89.1720	59.6721
89.3244	56.2643
89.4768	53.3466
89.6292	57.8303
89.7816	62.3648
89.9340	67.0124
90.0864	64.7630
90.2388	66.8183
90.3912	67.7754
90.5436	67.0312
90.6960	68.3383
90.8484	65.6790
91.0008	65.1684
91.1532	59.8289
91.3056	60.2673
91.4580	57.2924
91.6104	57.6640
91.7628	58.5356
91.9152	63.1368
92.0676	67.6340
92.2200	69.1840
92.3724	67.6632
92.5248	64.7003
92.6772	61.3727
92.8296	63.6777
92.9820	67.6149
93.1344	64.5094
93.2868	60.1879
93.4392	57.8251
93.5916	58.3390
93.7440	61.0196
93.8964	62.1597
94.0488	64.4723
94.2012	62.6296
94.3536	61.4898
94.5060	63.2899
94.6584	62.4090
94.8108	62.9975
94.9632	62.1273
95.1156	62.7432
95.2680	62.7043
95.4204	61.5069
95.5728	60.8324
95.7252	62.0725
95.8776	60.4450
96.0300	63.7730
96.1824	63.0666
96.3348	64.9837
96.4872	62.2810
96.6396	59.0003
96.7920	60.7706
96.9444	58.8424
97.0968	59.7836
97.2492	58.4893
97.4016	61.1429
97.5540	63.2716
97.7064	63.4160
97.8588	60.3122
98.0112	56.6654
98.1636	61.0917
98.3160	61.9057
98.4684	64.1473
98.6208	56.3323
98.7732	55.6348
98.9256	57.6696
99.0780	57.8738
99.2304	61.2354
99.3828	60.9851
99.5352	61.7901
99.6876	61.5952
99.8400	58.1200
99.9924	57.6008
100.1448	56.6774
100.2972	59.9097
100.4496	61.3171
100.6020	63.0987
100.7544	60.5044
100.9068	61.4564
101.0592	57.6141
101.2116	59.7586
101.3640	61.0695
101.5164	63.2646
101.6688	59.2109
101.8212	57.2707
101.9736	60.7631
102.1260	62.5761
102.2784	63.9085
102.4308	60.2421
102.5832	62.5449
102.7356	60.8880
102.8880	60.4913
103.0404	61.9968
103.1928	63.2867
103.3452	62.7214
103.4976	58.3146
103.6500	60.7721
103.8024	59.1732
103.9548	66.6264
104.1072	67.4802
104.2596	71.5704
104.4120	67.1457
104.5644	66.8494
104.7168	66.1270
104.8692	66.7395
105.0216	65.3556
105.1740	67.5692
105.3264	62.3014
105.4788	59.8079
105.6312	60.4748
105.7836	59.0605
105.9360	56.8290
106.0884	54.4513
106.2408	55.8567
106.3932	59.8598
106.5456	62.4115
106.6980	71.6335
106.8504	70.3271
107.0028	69.8108
107.1552	62.6497
107.3076	68.4471
107.4600	70.2637
107.6124	71.0540
107.7648	62.5821
107.9172	59.7237
108.0696	59.7945
108.2220	60.9910
108.3744	61.9954
108.5268	62.1367
108.6792	60.9604
108.8316	60.5523
108.9840	62.5901
109.1364	62.1274
109.2888	65.5770
109.4412	60.6370
109.5936	63.3405
109.7460	64.3746
109.8984	68.6282
110.0508	64.8323
110.2032	60.5307
110.3556	59.0090
110.5080	61.7742
110.6604	63.1925
110.8128	63.1077
110.9652	63.7196
111.1176	62.7825
