HOLE:	1230A
LEG:	201
TOP:	75.5904
BOTTOM:	273.8628
DEPTH_WMSF	SGR	CGR	POTA	THOR	URAN	
m	gAPI	gAPI	%	ppm	ppm	
105.9180	39.6796	17.0131	0.5309	2.3266	2.5607
106.0704	38.8549	16.9858	0.5400	2.2725	2.4706
106.2228	39.4116	17.2451	0.5656	2.2196	2.5042
106.3752	40.6419	17.9199	0.6027	2.2303	2.5670
106.5276	41.2136	18.5318	0.6272	2.2869	2.5624
106.6800	41.5025	19.1013	0.6390	2.3950	2.5307
106.8324	40.8448	19.1321	0.6333	2.4329	2.4529
106.9848	39.7225	18.5267	0.6208	2.3176	2.3945
107.1372	39.9233	18.3767	0.6360	2.1965	2.4342
107.2896	39.3731	18.0675	0.6298	2.1369	2.4069
107.4420	37.9156	17.0756	0.5823	2.0851	2.3543
107.5944	36.7945	16.2587	0.5428	2.0441	2.3200
107.7468	37.3516	16.5301	0.5454	2.1111	2.3523
107.8992	37.1015	16.4273	0.5336	2.1403	2.3356
108.0516	37.6007	16.1482	0.5101	2.1772	2.4235
108.2040	37.5778	15.2539	0.4735	2.0988	2.5220
108.3564	36.7412	14.2571	0.4450	1.9491	2.5401
108.5088	36.1484	13.8041	0.4377	1.8525	2.5243
108.6612	35.9709	14.1847	0.4520	1.8926	2.4612
108.8136	35.9116	14.9714	0.4807	1.9792	2.3657
108.9660	34.9908	14.8803	0.4893	1.9087	2.2719
109.1184	35.0969	14.7468	0.4923	1.8544	2.2990
109.2708	35.1441	14.4354	0.4834	1.8072	2.3395
109.4232	34.5544	14.0539	0.4702	1.7620	2.3160
109.5756	33.4472	13.6320	0.4453	1.7637	2.2386
109.7280	34.0453	13.8718	0.4363	1.8799	2.2791
109.8804	35.5403	14.1763	0.4372	1.9648	2.4135
110.0328	36.7772	14.5059	0.4396	2.0499	2.5160
110.1852	37.8986	15.0310	0.4390	2.2075	2.5834
110.3376	39.0174	15.7422	0.4451	2.3860	2.6295
110.4900	38.9072	16.2121	0.4544	2.4777	2.5639
110.6424	37.9965	16.4332	0.4651	2.4885	2.4361
110.7948	37.1413	16.4740	0.4749	2.4510	2.3348
110.9472	37.6770	17.0975	0.5012	2.5017	2.3249
111.0996	39.3125	18.7822	0.5493	2.7547	2.3194
111.2520	39.9829	20.4802	0.5866	3.0664	2.2033
111.4044	39.7597	21.4514	0.5966	3.3019	2.0683
111.5568	39.5651	22.2231	0.5950	3.5370	1.9592
111.7092	39.5201	22.6192	0.5869	3.6952	1.9093
111.8616	40.0853	22.3557	0.5696	3.7046	2.0030
112.0140	42.5803	22.8350	0.5805	3.7909	2.2307
112.1664	44.8612	23.5714	0.6051	3.8834	2.4052
112.3188	45.1122	23.5086	0.6014	3.8838	2.4406
112.4712	43.6763	22.3786	0.5547	3.7869	2.4061
112.6236	43.4431	21.4793	0.5270	3.6623	2.4813
112.7760	44.6319	21.7739	0.5541	3.6118	2.5823
112.9284	45.8683	22.6039	0.5991	3.6287	2.6282
113.0808	44.0211	22.1303	0.5996	3.4868	2.4731
113.2332	44.3162	22.8007	0.6208	3.5770	2.4307
113.3856	45.4836	23.6215	0.6445	3.6991	2.4698
113.5380	45.6541	23.5949	0.6491	3.6679	2.4921
113.6904	43.6825	22.5790	0.6286	3.4720	2.3841
113.8428	42.9316	22.5285	0.6264	3.4682	2.3050
113.9952	42.3018	22.4679	0.6146	3.5100	2.2407
114.1476	43.1152	22.5467	0.6149	3.5318	2.3237
114.3000	44.4464	22.1497	0.6087	3.4464	2.5189
114.4524	43.7986	20.6826	0.5761	3.1788	2.6115
114.6048	42.4212	18.8584	0.5412	2.8179	2.6620
114.7572	42.7027	18.0461	0.5338	2.6163	2.7855
114.9096	42.2276	18.0462	0.5315	2.6280	2.7318
115.0620	41.0068	18.3393	0.5233	2.7555	2.5608
115.2144	42.3676	19.5884	0.5389	3.0447	2.5734
115.3668	46.7326	21.7734	0.5898	3.4312	2.8197
115.5192	48.5077	22.7116	0.6232	3.5387	2.9143
115.6716	48.9710	23.3289	0.6575	3.5468	2.8969
115.8240	48.3829	23.5906	0.6739	3.5409	2.8009
115.9764	48.4970	24.4261	0.6937	3.6872	2.7193
116.1288	48.9415	25.4933	0.7188	3.8747	2.6490
116.2812	50.1840	26.5007	0.7536	3.9952	2.6756
116.4336	50.0750	26.3205	0.7528	3.9463	2.6836
116.5860	48.6611	25.4309	0.7208	3.8461	2.6244
116.7384	46.3971	24.1669	0.6733	3.7140	2.5114
116.8908	45.4734	22.6308	0.6224	3.5189	2.5806
117.0432	47.2364	21.8890	0.6030	3.3982	2.8636
117.1956	48.1515	21.3724	0.5894	3.3152	3.0253
117.3480	47.6625	21.1429	0.5729	3.3310	2.9960
117.5004	46.6159	21.5681	0.5712	3.4647	2.8297
117.6528	46.3090	22.6862	0.5952	3.6724	2.6687
117.8052	47.0129	24.2279	0.6441	3.8797	2.5741
117.9576	49.1153	25.8714	0.7061	4.0500	2.6259
118.1100	50.6541	26.6518	0.7439	4.0886	2.7116
118.2624	51.0928	26.8831	0.7580	4.0856	2.7350
118.4148	51.1869	27.2395	0.7674	4.1428	2.7054
118.5672	51.2813	27.6674	0.7620	4.2963	2.6677
118.7196	51.7373	28.4341	0.7520	4.5730	2.6326
118.8720	52.4255	29.3931	0.7574	4.8280	2.6020
119.0244	52.0763	29.0377	0.7456	4.7832	2.6027
119.1768	50.7440	27.9054	0.7227	4.5655	2.5801
119.3292	49.7272	27.5034	0.7153	4.4846	2.5107
119.4816	48.9709	27.9349	0.7375	4.4992	2.3765
119.6340	47.8135	27.8516	0.7480	4.4217	2.2552
119.7864	47.2258	27.4378	0.7376	4.3521	2.2355
119.9388	47.9486	28.0603	0.7654	4.3952	2.2468
120.0912	47.3251	28.1509	0.7824	4.3357	2.1662
120.2436	46.7039	28.3690	0.7880	4.3714	2.0713
120.3960	48.5559	29.9644	0.8292	4.6330	2.1003
120.5484	50.8173	31.0749	0.8657	4.7757	2.2303
120.7008	50.6467	30.1647	0.8473	4.6008	2.3139
120.8532	49.0872	28.4876	0.7989	4.3514	2.3272
121.0056	46.9078	26.6427	0.7425	4.0933	2.2894
121.1580	45.3724	25.1288	0.6986	3.8694	2.2870
121.3104	45.9204	24.8033	0.7004	3.7642	2.3857
121.4628	48.7939	25.5826	0.7391	3.7979	2.6222
121.6152	51.6437	26.5321	0.7925	3.8075	2.8369
121.7676	53.3135	27.1355	0.8480	3.7047	2.9574
121.9200	51.5885	25.8104	0.8298	3.4065	2.9122
122.0724	49.9820	24.5894	0.7892	3.2520	2.8687
122.2248	49.1449	24.1696	0.7577	3.2875	2.8215
122.3772	48.3644	23.5023	0.7116	3.3242	2.8087
122.5296	46.9080	22.1288	0.6439	3.2621	2.7994
122.6820	46.6180	21.9099	0.6248	3.2942	2.7913
122.8344	45.9552	22.0712	0.6356	3.2873	2.6982
122.9868	45.2208	22.2906	0.6476	3.2912	2.5905
123.1392	45.5155	23.0999	0.6647	3.4428	2.5324
123.2916	45.5733	23.4089	0.6691	3.5117	2.5040
123.4440	44.4100	22.5825	0.6611	3.3086	2.4659
123.5964	44.5128	22.4417	0.6810	3.1667	2.4934
123.7488	46.3980	23.2156	0.7179	3.2081	2.6190
123.9012	48.0814	23.6624	0.7275	3.2908	2.7587
124.0536	46.5691	22.7700	0.6870	3.2329	2.6886
124.2060	44.1768	21.5962	0.6378	3.1362	2.5510
124.3584	42.4658	20.7014	0.5897	3.1157	2.4588
124.5108	41.8544	20.9988	0.5724	3.2907	2.3561
124.6632	41.5153	21.6195	0.5743	3.4639	2.2477
124.8156	42.2225	22.0314	0.5764	3.5751	2.2810
124.9680	43.7125	22.4685	0.5837	3.6668	2.4000
125.1204	46.5369	23.6936	0.6205	3.8414	2.5807
125.2728	49.1979	25.0414	0.6688	3.9941	2.7290
125.4252	49.6044	25.4174	0.7005	3.9445	2.7325
125.5776	47.7015	24.5073	0.6954	3.7024	2.6203
125.7300	45.5247	23.4588	0.6651	3.5469	2.4928
125.8824	44.5235	23.2233	0.6391	3.6087	2.4063
126.0348	44.2038	23.0810	0.6093	3.7175	2.3863
126.1872	44.7181	22.9718	0.5944	3.7609	2.4567
126.3396	45.8705	23.2893	0.6098	3.7767	2.5511
126.4920	47.4633	24.1069	0.6433	3.8480	2.6386
126.6444	47.8161	24.5905	0.6673	3.8691	2.6239
126.7968	47.5148	25.3262	0.7016	3.9124	2.5067
126.9492	47.0850	26.3624	0.7510	3.9675	2.3411
127.1016	47.2751	27.2708	0.7938	4.0189	2.2599
127.2540	47.1745	27.6747	0.8056	4.0778	2.2029
127.4064	46.8500	27.8675	0.8044	4.1411	2.1445
127.5588	45.9767	27.3071	0.7826	4.0859	2.1092
127.7112	45.4972	27.0422	0.7749	4.0469	2.0849
127.8636	45.3192	27.9038	0.8088	4.1295	1.9675
128.0160	44.6746	29.0866	0.8494	4.2724	1.7610
128.1684	43.7180	29.3177	0.8572	4.3012	1.6268
128.3208	44.5636	29.4268	0.8680	4.2784	1.7100
128.4732	47.6758	30.2169	0.9052	4.3231	1.9724
128.6256	48.1849	29.7814	0.9136	4.1521	2.0791
128.7780	45.9352	28.1318	0.8904	3.7838	2.0113
128.9304	45.1079	26.7769	0.8751	3.4619	2.0709
129.0828	48.3546	27.4419	0.9232	3.4144	2.3626
129.2352	50.5575	28.1096	0.9645	3.4021	2.5360
129.3876	50.2899	28.1373	0.9691	3.3870	2.5026
129.5400	46.4330	26.2249	0.9016	3.1650	2.2830
129.6924	44.1021	24.9352	0.8626	2.9826	2.1653
129.8448	45.9770	25.7077	0.8869	3.0870	2.2899
129.9972	48.8146	26.8973	0.9150	3.2956	2.4761
130.1496	48.1735	26.1374	0.8870	3.2135	2.4895
130.3020	45.8902	24.3664	0.8435	2.9115	2.4316
130.4544	45.3015	23.9317	0.8496	2.7524	2.4142
130.6068	45.8301	24.3531	0.8711	2.7681	2.4263
130.7592	47.3941	25.0848	0.8915	2.8804	2.5203
130.9116	47.2893	24.2598	0.8622	2.7858	2.6017
131.0640	47.2089	22.7170	0.8184	2.5525	2.7669
131.2164	47.3014	21.8079	0.7873	2.4421	2.8801
131.3688	48.7844	22.5948	0.8022	2.5986	2.9587
131.5212	48.8680	23.3124	0.8119	2.7608	2.8871
131.6736	47.2199	23.4046	0.7961	2.8681	2.6905
131.8260	45.7092	23.4921	0.7748	3.0013	2.5099
131.9784	46.2038	24.4197	0.7901	3.1973	2.4610
132.1308	47.4089	25.9443	0.8324	3.4325	2.4249
132.2832	47.9129	26.9678	0.8541	3.6246	2.3662
132.4356	48.0141	27.0893	0.8476	3.6931	2.3639
132.5880	48.0753	27.0992	0.8319	3.7754	2.3697
132.7404	48.2708	27.2246	0.8086	3.9303	2.3776
132.8928	47.6926	26.4267	0.7676	3.9026	2.4025
133.0452	46.3914	24.8689	0.7129	3.7203	2.4315
133.1976	45.1428	23.6052	0.6683	3.5739	2.4332
133.3500	44.4241	23.2461	0.6545	3.5376	2.3925
133.5024	45.6563	23.6618	0.6639	3.6127	2.4848
133.6548	47.8851	23.9991	0.6824	3.6186	2.6985
133.8072	47.9320	23.4104	0.6898	3.4073	2.7703
133.9596	45.3306	21.8985	0.6483	3.1722	2.6472
134.1120	43.5097	20.9145	0.5997	3.1280	2.5526
134.2644	43.7292	20.8409	0.5852	3.1797	2.5857
134.4168	44.2559	20.8260	0.5671	3.2669	2.6469
134.5692	43.8219	20.3272	0.5280	3.3174	2.6543
134.7216	43.1625	19.9150	0.5005	3.3354	2.6263
134.8740	42.3136	19.0540	0.4666	3.2530	2.6277
135.0264	41.1285	17.9098	0.4286	3.1084	2.6231
135.1788	41.5102	18.0205	0.4322	3.1228	2.6537
135.3312	42.7406	18.5553	0.4563	3.1583	2.7323
135.4836	42.8878	18.3217	0.4595	3.0732	2.7753
135.6360	43.0032	17.8153	0.4563	2.9405	2.8455
135.7884	43.9055	17.8970	0.4647	2.9217	2.9382
135.9408	44.0287	18.5773	0.4766	3.0620	2.8753
136.0932	42.1823	18.8126	0.4762	3.1333	2.6401
136.2456	41.0184	19.4101	0.4960	3.2091	2.4412
136.3980	40.8797	19.9998	0.5141	3.2916	2.3589
136.5504	41.1678	20.6820	0.5319	3.4025	2.3143
136.7028	41.3373	21.6361	0.5467	3.6089	2.2257
136.8552	41.0606	22.6165	0.5500	3.8807	2.0837
137.0076	40.4768	23.5402	0.5688	4.0578	1.9134
137.1600	41.7952	25.2190	0.6288	4.2487	1.8727
137.3124	44.5866	27.3016	0.6968	4.5187	1.9527
137.4648	44.2952	27.7755	0.7349	4.4656	1.8663
137.6172	41.9847	27.0984	0.7488	4.1957	1.6817
137.7696	41.5809	27.1914	0.7748	4.0916	1.6256
137.9220	43.4450	28.9394	0.8467	4.2426	1.6387
138.0744	44.8852	30.4299	0.9055	4.3841	1.6331
138.2268	45.8009	30.4345	0.8947	4.4406	1.7360
138.3792	47.4096	30.3909	0.8587	4.6098	1.9227
138.5316	47.4870	29.7399	0.8088	4.6700	2.0049
138.6840	46.9332	29.6548	0.7826	4.7778	1.9520
138.8364	47.0137	30.0278	0.7743	4.9298	1.9189
138.9888	47.4844	30.2226	0.7838	4.9389	1.9501
139.1412	45.7170	28.8900	0.7610	4.6615	1.9010
139.2936	43.7827	26.9884	0.7100	4.3592	1.8973
139.4460	43.9628	26.2678	0.6871	4.2631	1.9990
139.5984	44.9322	26.5975	0.6953	4.3188	2.0713
139.7508	45.2672	26.9890	0.7129	4.3448	2.0649
139.9032	45.1484	26.8805	0.7300	4.2264	2.0638
140.0556	44.6018	25.5704	0.7078	3.9528	2.1500
140.2080	42.2542	23.1355	0.6316	3.6210	2.1599
140.3604	41.5868	22.5523	0.5967	3.6256	2.1504
140.5128	41.7901	23.0899	0.5974	3.7805	2.1126
