HOLE:	1230A
LEG:	201
TOP:	81.0763
BOTTOM:	279.9583
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohmm	ohmm	ohmm
140.6647	1.0575	1.0521	0.9438
140.8171	1.0475	1.0425	0.9495
140.9695	1.0329	1.0402	0.9503
141.1219	1.0347	1.0435	0.9596
141.2743	1.0347	1.0500	0.9662
141.4267	1.0350	1.0591	0.9809
141.5791	1.0462	1.0726	0.9837
141.7315	1.0541	1.0906	0.9915
141.8839	1.0557	1.1087	1.0514
142.0363	1.0618	1.1209	1.0293
142.1887	1.0663	1.1236	1.0197
142.3411	1.0670	1.1160	1.0165
142.4935	1.0614	1.0991	1.0451
142.6459	1.0559	1.0758	1.0355
142.7983	1.0566	1.0518	1.0194
142.9507	1.0561	1.0332	0.9722
143.1031	1.0614	1.0248	0.9485
143.2555	1.0658	1.0297	0.9435
143.4079	1.0800	1.0479	0.9200
143.5603	1.1162	1.0759	0.9967
143.7127	1.1300	1.1099	1.0069
143.8651	1.1644	1.1504	1.0493
144.0175	1.1928	1.2009	1.1033
144.1699	1.2016	1.2606	1.1058
144.3223	1.2173	1.3187	1.1459
144.4747	1.2456	1.3552	1.1472
144.6271	1.2578	1.3546	1.1184
144.7795	1.2685	1.3255	1.0809
144.9319	1.2511	1.2933	0.9570
145.0843	1.2397	1.2732	0.9554
145.2367	1.2321	1.2619	1.0366
145.3891	1.2016	1.2487	1.1212
145.5415	1.1829	1.2263	1.0758
145.6939	1.1773	1.1953	1.0538
145.8463	1.1657	1.1629	1.0143
145.9987	1.1518	1.1385	0.9880
146.1511	1.1503	1.1262	1.0016
146.3035	1.1501	1.1256	0.9620
146.4559	1.1426	1.1340	1.0254
146.6083	1.1251	1.1447	1.0412
146.7607	1.1085	1.1460	1.1178
146.9131	1.1024	1.1299	1.0343
147.0655	1.0919	1.0994	0.9757
147.2179	1.0797	1.0655	0.9408
147.3703	1.0667	1.0394	0.9231
147.5227	1.0476	1.0272	0.9365
147.6751	1.0305	1.0281	0.9517
147.8275	1.0237	1.0364	0.9566
147.9799	1.0224	1.0461	0.9978
148.1323	1.0240	1.0540	0.9916
148.2847	1.0404	1.0638	0.9538
148.4371	1.0741	1.0851	0.9140
148.5895	1.0824	1.1259	0.9085
148.7419	1.0922	1.1843	0.9817
148.8943	1.1010	1.2443	1.0704
149.0467	1.1122	1.2804	1.1081
149.1991	1.1358	1.2763	1.2357
149.3515	1.1448	1.2405	1.0778
149.5039	1.1434	1.1958	1.0698
149.6563	1.1310	1.1611	1.0617
149.8087	1.1072	1.1436	1.0430
149.9611	1.0746	1.1377	0.9888
150.1135	1.0271	1.1284	0.9680
150.2659	1.0146	1.1039	0.9726
150.4183	1.0067	1.0656	0.9711
150.5707	1.0000	1.0263	0.9019
150.7231	1.0085	1.0006	0.8835
150.8755	1.0204	0.9986	0.8709
151.0279	1.0297	1.0234	0.8610
151.1803	1.0403	1.0705	0.8664
151.3327	1.0441	1.1254	0.8958
151.4851	1.0506	1.1652	1.1694
151.6375	1.0643	1.1713	1.2810
151.7899	1.0741	1.1466	1.0928
151.9423	1.0719	1.1104	1.0440
152.0947	1.0611	1.0795	0.9581
152.2471	1.0602	1.0598	0.9427
152.3995	1.0607	1.0503	0.9417
152.5519	1.0575	1.0512	0.9287
152.7043	1.0701	1.0664	0.9259
152.8567	1.0750	1.0981	0.9894
153.0091	1.0818	1.1405	1.0922
153.1615	1.1000	1.1795	1.1009
153.3139	1.1031	1.1986	1.1035
153.4663	1.1024	1.1917	1.0772
153.6187	1.1018	1.1685	1.0203
153.7711	1.0724	1.1417	1.0278
153.9235	1.0524	1.1148	1.0649
154.0759	1.0268	1.0856	1.0579
154.2283	1.0171	1.0547	1.0220
154.3807	1.0114	1.0268	1.0006
154.5331	1.0015	1.0075	0.9147
154.6855	0.9947	0.9998	0.9187
154.8379	0.9925	1.0004	0.9682
154.9903	0.9884	1.0032	0.9390
155.1427	0.9882	1.0059	0.9049
155.2951	0.9937	1.0119	0.9119
155.4475	0.9976	1.0257	0.9070
155.5999	1.0222	1.0480	0.8867
155.7523	1.0724	1.0763	0.8829
155.9047	1.0818	1.1067	0.8923
156.0571	1.0866	1.1367	1.0385
156.2095	1.0906	1.1643	1.0813
156.3619	1.0945	1.1847	1.0833
156.5143	1.0969	1.1877	1.1996
156.6667	1.0981	1.1664	0.9384
156.8191	1.0966	1.1299	0.9144
156.9715	1.0823	1.0987	0.9000
157.1239	1.0708	1.0885	0.9445
157.2763	1.0518	1.1025	0.9684
157.4287	1.0353	1.1314	0.9868
157.5811	1.0283	1.1570	0.9988
157.7335	1.0231	1.1600	1.0441
157.8859	1.0220	1.1339	1.0017
158.0383	1.0200	1.0886	0.8742
158.1907	1.0031	1.0408	0.8592
158.3431	0.9922	1.0039	0.8851
158.4955	0.9832	0.9842	0.9030
158.6479	0.9634	0.9789	0.9397
158.8003	0.9607	0.9811	0.9551
158.9527	0.9661	0.9873	0.9161
159.1051	0.9692	0.9977	0.9080
159.2575	0.9735	1.0125	0.8807
159.4099	0.9751	1.0292	0.8850
159.5623	0.9767	1.0431	0.8904
159.7147	0.9777	1.0501	0.9282
159.8671	0.9808	1.0508	0.9335
160.0195	0.9886	1.0508	0.9164
160.1719	0.9902	1.0528	0.9450
160.3243	0.9871	1.0531	1.0028
160.4767	0.9841	1.0463	0.9835
160.6291	0.9838	1.0326	0.9746
160.7815	0.9832	1.0180	0.9379
160.9339	0.9862	1.0117	0.8993
161.0863	0.9782	1.0177	0.9080
161.2387	0.9751	1.0314	0.9082
161.3911	0.9730	1.0430	0.9265
161.5435	0.9708	1.0458	0.9370
161.6959	0.9683	1.0381	0.9334
161.8483	0.9612	1.0207	0.9166
162.0007	0.9566	0.9964	0.8464
162.1531	0.9535	0.9698	0.8446
162.3055	0.9408	0.9469	0.8449
162.4579	0.9309	0.9336	0.8456
162.6103	0.9301	0.9324	0.8432
162.7627	0.9270	0.9398	0.8339
162.9151	0.9300	0.9491	0.8656
163.0675	0.9327	0.9566	0.8670
163.2199	0.9427	0.9641	0.8440
163.3723	0.9590	0.9757	0.8222
163.5247	0.9626	0.9934	0.8230
163.6771	0.9658	1.0140	0.8700
163.8295	0.9740	1.0303	0.9256
163.9819	0.9871	1.0371	0.9407
164.1343	0.9906	1.0367	0.9277
164.2867	0.9973	1.0351	0.9376
164.4391	1.0018	1.0361	0.9466
164.5915	0.9986	1.0394	0.9477
164.7439	0.9970	1.0409	0.9633
164.8963	0.9883	1.0359	0.9260
165.0487	0.9742	1.0233	0.9173
165.2011	0.9652	1.0056	0.9008
165.3535	0.9586	0.9864	0.8810
165.5059	0.9529	0.9688	0.8711
165.6583	0.9476	0.9564	0.8666
165.8107	0.9477	0.9537	0.8250
165.9631	0.9438	0.9631	0.8241
166.1155	0.9420	0.9812	0.9009
166.2679	0.9417	0.9980	0.9759
166.4203	0.9429	1.0024	1.0029
166.5727	0.9485	0.9923	0.9738
166.7251	0.9518	0.9764	0.8883
166.8775	0.9514	0.9655	0.8698
167.0299	0.9455	0.9644	0.8690
