HOLE:	1230A
LEG:	201
TOP:	79.0956
BOTTOM:	261.9756
DEPTH_WMSF	DTCO	DT2	DTST	VCO	VS2	VST
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
97.2312	187.2168	661.6536	346.0121	1.6281	0.4607	0.8809
97.3836	187.4515	661.3271	346.0370	1.6260	0.4609	0.8808
97.5360	187.2924	661.6536	346.4247	1.6274	0.4607	0.8799
97.6884	187.4748	661.6536	345.4332	1.6258	0.4607	0.8824
97.8408	187.4622	661.5500	339.1013	1.6259	0.4607	0.8989
97.9932	186.9511	685.4683	330.6339	1.6304	0.4447	0.9219
98.1456	187.2658	727.4185	331.5933	1.6277	0.4190	0.9192
98.2980	187.2074	727.6353	352.2543	1.6282	0.4189	0.8653
98.4504	187.1186	727.6353	384.1155	1.6289	0.4189	0.7935
98.6028	187.0856	727.6353	400.1122	1.6292	0.4189	0.7618
98.7552	187.0526	727.6353	400.1113	1.6295	0.4189	0.7618
98.9076	187.0194	727.6353	332.9826	1.6298	0.4189	0.9154
99.0600	186.9865	727.6353	329.2096	1.6301	0.4189	0.9259
99.2124	186.9535	727.6353	330.7889	1.6304	0.4189	0.9214
99.3648	186.9206	727.2845	345.4645	1.6307	0.4191	0.8823
99.5172	186.8876	715.8976	362.2114	1.6309	0.4258	0.8415
99.6696	186.8546	724.0504	388.0244	1.6312	0.4210	0.7855
99.8220	186.8216	719.8141	388.5128	1.6315	0.4234	0.7845
99.9744	187.1833	714.7070	380.7331	1.6284	0.4265	0.8006
100.1268	187.9491	671.1254	365.1956	1.6217	0.4542	0.8346
100.2792	187.8146	627.2057	365.7001	1.6229	0.4860	0.8335
100.4316	187.6804	627.2057	360.6894	1.6241	0.4860	0.8451
100.5840	187.5462	627.2057	364.4795	1.6252	0.4860	0.8363
100.7364	187.4118	626.9762	371.3229	1.6264	0.4861	0.8209
100.8888	187.2775	626.8729	301.9998	1.6276	0.4862	1.0093
101.0412	187.1433	686.9643	205.9536	1.6287	0.4437	1.4800
101.1936	187.0088	698.8342	191.3036	1.6299	0.4362	1.5933
101.3460	186.8746	698.8342	191.3036	1.6311	0.4362	1.5933
101.4984	186.7404	699.2051	191.3036	1.6322	0.4359	1.5933
101.6508	186.6054	699.2547	191.3036	1.6334	0.4359	1.5933
101.8032	186.4716	699.5760	191.3036	1.6346	0.4357	1.5933
101.9556	186.3371	699.5760	191.3036	1.6358	0.4357	1.5933
102.1080	186.2029	699.5760	191.3036	1.6369	0.4357	1.5933
102.2604	186.4462	699.5760	191.3036	1.6348	0.4357	1.5933
102.4128	186.2660	699.5760	191.3036	1.6364	0.4357	1.5933
102.5652	185.0981	699.5760	188.8482	1.6467	0.4357	1.6140
102.7176	184.2516	699.5760	186.4303	1.6543	0.4357	1.6349
102.8700	184.2725	699.5760	245.4107	1.6541	0.4357	1.2420
103.0224	184.3900	601.9824	268.6768	1.6530	0.5063	1.1345
103.1748	184.3574	576.6334	268.6768	1.6533	0.5286	1.1345
103.3272	184.8830	576.6334	231.1035	1.6486	0.5286	1.3189
103.4796	168.9983	576.6334	188.8508	1.8036	0.5286	1.6140
103.6320	153.0386	576.6334	188.4606	1.9917	0.5286	1.6173
103.7844	137.0365	576.6334	184.3246	2.2243	0.5286	1.6536
103.9368	124.2795	576.6334	187.0344	2.4526	0.5286	1.6297
104.0892	122.9987	576.6334	256.2988	2.4781	0.5286	1.1893
104.2416	121.7138	576.6334	392.9808	2.5043	0.5286	0.7756
104.3940	-999.2500	576.7726	381.0603	-999.2500	0.5285	0.7999
104.5464	-999.2500	576.9391	349.8374	-999.2500	0.5283	0.8713
104.6988	-999.2500	596.3242	331.9958	-999.2500	0.5111	0.9181
104.8512	-999.2500	637.0873	345.8031	-999.2500	0.4784	0.8814
105.0036	-999.2500	681.4144	287.5136	-999.2500	0.4473	1.0601
105.1560	-999.2500	684.0706	212.1438	-999.2500	0.4456	1.4368
105.3084	-999.2500	682.3943	200.8599	-999.2500	0.4467	1.5175
105.4608	-999.2500	682.3943	200.3459	-999.2500	0.4467	1.5214
105.6132	-999.2500	682.3782	182.8243	-999.2500	0.4467	1.6672
105.7656	-999.2500	681.4023	182.8243	-999.2500	0.4473	1.6672
105.9180	-999.2500	676.7047	182.9061	-999.2500	0.4504	1.6664
106.0704	-999.2500	671.7951	183.2554	-999.2500	0.4537	1.6633
106.2228	-999.2500	650.1926	272.1122	-999.2500	0.4688	1.1201
106.3752	-999.2500	615.3691	446.1990	-999.2500	0.4953	0.6831
106.5276	-999.2500	585.7064	446.1990	-999.2500	0.5204	0.6831
106.6800	-999.2500	585.7064	426.5594	-999.2500	0.5204	0.7146
106.8324	-999.2500	585.7064	373.7341	-999.2500	0.5204	0.8156
106.9848	135.5552	585.7064	349.0537	2.2486	0.5204	0.8732
107.1372	161.1732	662.7735	366.8899	1.8912	0.4599	0.8308
107.2896	165.6680	684.2886	355.3210	1.8398	0.4454	0.8578
107.4420	156.7938	684.2350	353.8312	1.9440	0.4455	0.8614
107.5944	147.9437	684.2350	186.7547	2.0603	0.4455	1.6321
107.7468	138.0750	683.8723	185.9124	2.2075	0.4457	1.6395
107.8992	128.5628	683.7699	188.1936	2.3709	0.4458	1.6196
108.0516	129.4836	683.5095	189.2274	2.3540	0.4459	1.6108
108.2040	133.8073	683.5095	304.4938	2.2779	0.4459	1.0010
108.3564	141.5563	643.5031	394.5056	2.1532	0.4737	0.7726
108.5088	149.2805	579.8193	397.5395	2.0418	0.5257	0.7667
108.6612	156.9801	460.0787	412.2617	1.9417	0.6625	0.7393
108.8136	163.7388	460.0787	410.6309	1.8615	0.6625	0.7423
108.9660	170.4975	460.0787	404.8638	1.7877	0.6625	0.7529
109.1184	170.0558	460.0787	387.5757	1.7924	0.6625	0.7864
109.2708	169.6142	460.0787	406.1454	1.7970	0.6625	0.7505
109.4232	169.1725	460.0787	389.3560	1.8017	0.6625	0.7828
109.5756	168.7308	650.4569	388.7457	1.8064	0.4686	0.7841
109.7280	169.1479	650.4569	389.6731	1.8020	0.4686	0.7822
109.8804	167.8474	650.4569	412.1041	1.8160	0.4686	0.7396
110.0328	167.4057	650.4569	410.8611	1.8207	0.4686	0.7419
110.1852	166.9640	650.4569	407.0432	1.8256	0.4686	0.7488
110.3376	166.5223	650.4569	410.1227	1.8304	0.4686	0.7432
110.4900	166.0806	650.4569	408.1480	1.8353	0.4686	0.7468
110.6424	165.6389	650.4569	412.5615	1.8402	0.4686	0.7388
110.7948	165.1973	650.4569	385.0665	1.8451	0.4686	0.7916
110.9472	164.7556	650.4569	383.5565	1.8500	0.4686	0.7947
111.0996	166.3795	650.4569	375.6326	1.8320	0.4686	0.8114
111.2520	167.8276	656.0144	379.9308	1.8162	0.4646	0.8023
111.4044	169.2711	474.3514	361.5927	1.8007	0.6426	0.8429
111.5568	170.7146	423.1105	377.6241	1.7855	0.7204	0.8072
111.7092	172.1555	423.1105	389.0029	1.7705	0.7204	0.7836
111.8616	173.5970	423.3504	390.7016	1.7558	0.7200	0.7801
112.0140	175.0405	423.9200	391.6216	1.7413	0.7190	0.7783
112.1664	176.4886	424.4597	390.0855	1.7270	0.7181	0.7814
112.3188	177.9321	424.4597	386.9255	1.7130	0.7181	0.7878
112.4712	179.3710	424.4597	384.2813	1.6993	0.7181	0.7932
112.6236	180.9949	424.4597	382.2864	1.6840	0.7181	0.7973
112.7760	182.6189	647.2709	375.6936	1.6691	0.4709	0.8113
112.9284	180.1609	648.0926	383.5252	1.6918	0.4703	0.7947
113.0808	176.7124	647.2709	380.0555	1.7249	0.4709	0.8020
113.2332	175.2448	647.2709	377.3799	1.7393	0.4709	0.8077
113.3856	172.7868	647.2709	373.1184	1.7640	0.4709	0.8169
113.5380	172.5989	690.7106	374.9208	1.7660	0.4413	0.8130
113.6904	172.4111	690.7106	374.3786	1.7679	0.4413	0.8142
113.8428	172.2435	690.7106	390.7209	1.7696	0.4413	0.7801
113.9952	172.0765	699.4532	402.7333	1.7713	0.4358	0.7568
114.1476	171.9095	709.4083	395.5579	1.7730	0.4297	0.7706
114.3000	171.7425	713.1096	393.6771	1.7748	0.4274	0.7742
114.4524	171.5755	713.6395	394.4995	1.7765	0.4271	0.7726
114.6048	172.7456	706.5540	397.2180	1.7645	0.4314	0.7673
114.7572	174.3439	693.4359	401.7132	1.7483	0.4396	0.7588
114.9096	171.1922	701.2440	386.1519	1.7805	0.4347	0.7893
115.0620	171.9408	701.2440	395.6376	1.7727	0.4347	0.7704
115.2144	172.7856	701.2440	391.3393	1.7641	0.4347	0.7789
115.3668	173.6304	700.3543	385.8804	1.7555	0.4352	0.7899
115.5192	170.4373	687.5872	384.3606	1.7884	0.4433	0.7930
115.6716	-999.2500	658.2432	384.2298	-999.2500	0.4631	0.7933
115.8240	-999.2500	658.2432	335.4786	-999.2500	0.4631	0.9086
115.9764	-999.2500	658.2432	333.7968	-999.2500	0.4631	0.9131
116.1288	-999.2500	658.2432	328.0020	-999.2500	0.4631	0.9293
116.2812	-999.2500	658.2432	334.7421	-999.2500	0.4631	0.9106
116.4336	-999.2500	658.1820	335.8272	-999.2500	0.4631	0.9076
116.5860	-999.2500	657.8253	330.0117	-999.2500	0.4634	0.9236
116.7384	-999.2500	657.6749	326.2950	-999.2500	0.4635	0.9341
116.8908	-999.2500	657.4772	324.3542	-999.2500	0.4636	0.9397
117.0432	-999.2500	657.4772	320.5124	-999.2500	0.4636	0.9510
117.1956	-999.2500	657.4772	236.7203	-999.2500	0.4636	1.2876
117.3480	-999.2500	657.4772	186.3133	-999.2500	0.4636	1.6360
117.5004	-999.2500	658.2432	186.3133	-999.2500	0.4631	1.6360
117.6528	-999.2500	658.2432	190.5876	-999.2500	0.4631	1.5993
117.8052	-999.2500	657.8253	190.5876	-999.2500	0.4634	1.5993
117.9576	-999.2500	657.1290	190.5876	-999.2500	0.4638	1.5993
118.1100	184.3618	657.1290	190.5876	1.6533	0.4638	1.5993
118.2624	180.6958	657.1290	191.1952	1.6868	0.4638	1.5942
118.4148	180.5623	657.4772	191.1952	1.6881	0.4636	1.5942
118.5672	180.5533	657.4772	191.1952	1.6882	0.4636	1.5942
118.7196	180.3290	657.1677	190.6604	1.6903	0.4638	1.5987
118.8720	179.5787	657.1290	190.8892	1.6973	0.4638	1.5968
119.0244	179.6956	657.1290	191.4960	1.6962	0.4638	1.5917
119.1768	179.5530	657.1290	191.7545	1.6976	0.4638	1.5896
119.3292	179.0755	672.9269	189.8135	1.7021	0.4530	1.6058
119.4816	178.5982	692.5486	202.7851	1.7066	0.4401	1.5031
119.6340	178.1199	695.1744	232.8874	1.7112	0.4385	1.3088
119.7864	177.6418	685.8975	230.5546	1.7158	0.4444	1.3220
119.9388	177.1635	538.1585	230.4372	1.7205	0.5664	1.3227
120.0912	176.6256	538.4435	247.4634	1.7257	0.5661	1.2317
120.2436	176.0876	538.4435	264.3575	1.7310	0.5661	1.1530
120.3960	175.5496	580.6943	298.2779	1.7363	0.5249	1.0219
120.5484	175.1989	580.6943	383.6375	1.7398	0.5249	0.7945
120.7008	171.3859	581.4321	390.8995	1.7785	0.5242	0.7797
120.8532	168.9746	581.4321	387.0362	1.8038	0.5242	0.7875
121.0056	169.0495	581.4321	212.5550	1.8030	0.5242	1.4340
121.1580	172.8598	581.4321	210.5107	1.7633	0.5242	1.4479
121.3104	172.3218	581.4321	208.4664	1.7688	0.5242	1.4621
121.4628	173.2012	581.4321	208.3068	1.7598	0.5242	1.4632
121.6152	169.3799	581.4321	215.7953	1.7995	0.5242	1.4125
121.7676	175.6320	581.8009	206.2126	1.7355	0.5239	1.4781
121.9200	175.8395	582.1697	203.8557	1.7334	0.5236	1.4952
122.0724	176.7189	582.1697	225.1745	1.7248	0.5236	1.3536
122.2248	177.5983	582.1697	226.0942	1.7163	0.5236	1.3481
122.3772	178.4777	568.5954	226.7005	1.7078	0.5361	1.3445
122.5296	179.4823	585.5924	223.0313	1.6982	0.5205	1.3666
122.6820	180.4846	688.0101	233.3379	1.6888	0.4430	1.3063
122.8344	181.4929	687.8233	253.8996	1.6794	0.4431	1.2005
122.9868	182.4980	687.5742	300.6758	1.6702	0.4433	1.0137
123.1392	183.5030	687.5742	315.3734	1.6610	0.4433	0.9665
123.2916	184.5081	688.3215	317.3315	1.6520	0.4428	0.9605
123.4440	184.1520	688.4460	311.9007	1.6552	0.4427	0.9772
