HOLE:	1230A
LEG:	201
TOP:	0.1519
BOTTOM:	266.3947
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%	
17.2207	5.4811	5.1619	0.1213	0.9382	0.0617	-0.1371
17.3731	5.6682	5.1247	0.1155	0.9608	0.1323	-0.1371
17.5255	5.4112	4.8336	0.1031	0.9401	0.1068	-0.1371
17.6779	5.3374	4.5264	0.0798	0.9787	0.1307	-0.1371
17.8303	4.9275	3.5930	0.0670	0.7552	0.2088	-0.1371
17.9827	5.0151	3.6826	0.0631	0.8063	0.1849	-0.1371
18.1351	4.9943	3.8320	0.0565	0.8928	0.1731	-0.1371
18.2875	5.1477	3.9787	0.0466	0.9975	0.1935	-0.1371
18.4399	5.4715	3.8891	0.0453	0.9767	0.2550	-0.1371
18.5923	5.3133	4.2586	0.0568	1.0274	0.1934	-0.1371
18.7447	6.1389	4.7374	0.0726	1.0881	0.2317	-0.1371
18.8971	5.7781	4.7483	0.0811	1.0418	0.1690	-0.1371
19.0495	6.2423	5.2106	0.0963	1.1000	0.1466	-0.1371
19.2019	5.5945	4.4815	0.0794	0.9663	0.1609	-0.1371
19.3543	5.5919	4.6523	0.0891	0.9639	0.1500	-0.1371
19.5067	5.5014	4.6184	0.1029	0.8727	0.1208	-0.1371
19.6591	5.9466	4.9697	0.1130	0.9259	0.1492	-0.1371
19.8115	5.8865	4.9253	0.1276	0.8264	0.1461	-0.1371
19.9639	5.6928	4.1198	0.1154	0.6402	0.2120	-0.1371
20.1163	6.1027	4.8481	0.1331	0.7695	0.1420	-0.1371
20.2687	6.8836	4.6134	0.1133	0.8101	0.2856	-0.1371
20.4211	7.2839	5.0402	0.1197	0.9089	0.2823	-0.1371
20.5735	6.8087	4.5174	0.1046	0.8305	0.2952	-0.1371
20.7259	6.7409	4.7062	0.1149	0.8304	0.2563	-0.1371
20.8783	7.0164	5.2894	0.1387	0.8775	0.2303	-0.1371
21.0307	7.2734	5.1903	0.1304	0.8942	0.2967	-0.1371
21.1831	7.6225	5.4228	0.1311	0.9646	0.3245	-0.1371
21.3355	7.8437	5.2724	0.1336	0.9018	0.3622	-0.1371
21.4879	8.0045	5.2875	0.1364	0.8900	0.3672	-0.1371
21.6403	7.1560	4.8727	0.1377	0.7501	0.3288	-0.1371
21.7927	5.8550	3.8739	0.1053	0.6205	0.3109	-0.1371
21.9451	4.8461	3.7230	0.1104	0.5426	0.1830	-0.1371
22.0975	4.8125	3.6788	0.1144	0.5049	0.2097	-0.1371
22.2499	5.0503	3.8197	0.1211	0.5106	0.2418	-0.1371
22.4023	5.3111	3.6838	0.1157	0.4989	0.2934	-0.1371
22.5547	5.4392	3.6007	0.1050	0.5349	0.3132	-0.1371
22.7071	5.7070	3.7667	0.1070	0.5764	0.3020	-0.1371
22.8595	5.8333	3.4658	0.0918	0.5692	0.3554	-0.1371
23.0119	5.7860	3.8401	0.0877	0.7129	0.3106	-0.1371
23.1643	5.2565	3.6469	0.0852	0.6660	0.2802	-0.1371
23.3167	4.8631	3.4857	0.0699	0.7041	0.2322	-0.1371
23.4691	5.0401	3.8592	0.0910	0.6996	0.2133	-0.1371
23.6215	5.4997	3.6868	0.0841	0.6852	0.3034	-0.1371
23.7739	5.8818	4.0777	0.0819	0.8226	0.2958	-0.1371
23.9263	5.8232	4.1080	0.0872	0.8011	0.2772	-0.1371
24.0787	6.1426	4.5254	0.0873	0.9343	0.2843	-0.1371
24.2311	6.0095	4.0701	0.0811	0.8254	0.3170	-0.1371
24.3835	5.4693	4.0986	0.0781	0.8515	0.2285	-0.1371
24.5359	5.0993	4.3479	0.0998	0.8042	0.1378	-0.1371
24.6883	4.7220	3.4325	0.0851	0.5978	0.2037	-0.1371
24.8407	5.6617	3.4114	0.0722	0.6670	0.3494	-0.1371
24.9931	6.5572	3.4054	0.0770	0.6369	0.4730	-0.1371
25.1455	6.7765	3.3068	0.0605	0.7020	0.5023	-0.1371
25.2979	6.0403	3.1069	0.0563	0.6629	0.4277	-0.1371
