HOLE: 1230A								
LEG: 201								
LOGGING RUN: DIT/APS/HLDT/SGT/HNGS								
DATE: 3/16/2002		Sea Floor Depth: 5099 mbrf						
Depth	Temp	Pressure						
(mbsf)	(degC)	(bar)						
81.3200	4.84	518.76						
81.4000	4.87	517.17						
81.5800	4.90	526.00						
81.8100	4.92	525.86						
81.9100	4.89	525.93						
82.0100	4.90	520.28						
82.1900	4.90	519.59						
82.3900	4.92	524.07						
82.6200	4.93	526.28						
82.9600	4.94	526.14						
83.2000	4.93	526.00						
83.2500	4.95	519.93						
83.3200	4.95	519.72						
83.3600	4.93	526.28						
83.4400	4.97	526.21						
83.6800	4.95	526.21						
83.8900	4.95	526.28						
84.1200	4.93	522.76						
84.3600	4.92	526.28						
84.5100	4.87	526.28						
84.6800	4.84	526.34						
84.9500	4.83	521.45						
85.2200	4.82	519.24						
85.4600	4.86	522.62						
85.5100	4.82	526.21						
85.5700	4.79	526.07						
85.6600	4.79	526.41						
85.8600	4.75	526.41						
86.0900	4.72	526.55						
86.3800	4.73	526.76						
86.6100	4.69	526.69						
86.8500	4.73	526.55						
87.0800	4.74	523.59						
87.3000	4.78	523.24						
87.3500	4.83	520.90						
87.3500	4.82	519.66						
87.4000	4.82	521.93						
87.4500	4.85	526.41						
87.5000	4.86	526.48						
87.5600	4.89	526.69						
87.6100	4.90	526.90						
87.6600	4.93	526.97						
87.7600	4.93	526.83						
87.7600	4.93	526.76						
87.8100	4.91	526.76						
87.8600	4.95	526.83						
87.9100	4.91	518.62						
87.9600	4.92	516.97						
88.1500	4.93	519.03						
88.3800	4.97	523.45						
88.4500	5.02	526.62						
88.4500	5.04	526.83						
88.4500	5.07	527.17						
88.4500	5.10	527.38						
88.4500	5.14	526.97						
88.4500	5.17	526.76						
88.4500	5.20	526.90						
88.4800	5.18	527.38						
88.5800	5.21	527.38						
88.7000	5.19	527.03						
88.9200	5.21	526.90						
89.1500	5.22	527.03						
89.4700	5.23	527.03						
89.6400	5.21	527.03						
89.6800	5.22	527.17						
89.6700	5.23	527.24						
89.7000	5.23	527.17						
89.9300	5.21	527.03						
89.9800	5.24	527.17						
89.9700	5.25	527.24						
89.9500	5.21	527.38						
89.9400	5.25	527.10						
89.9800	5.22	527.10						
90.1500	5.24	527.17						
90.3900	5.22	527.24						
90.4800	5.22	527.24						
90.7000	5.23	527.10						
90.9400	5.24	527.10						
91.2600	5.24	527.10						
91.4100	5.22	527.24						
91.4400	5.24	527.24						
91.4900	5.24	527.31						
91.5400	5.25	527.17						
91.8400	5.23	527.31						
92.1600	5.24	527.17						
92.4500	5.24	527.31						
92.7500	5.23	527.52						
93.1300	5.24	527.66						
93.2100	5.23	527.24						
93.2300	5.25	527.03						
93.2500	5.23	527.24						
93.2700	5.20	527.45						
93.2900	5.23	527.66						
93.3000	5.23	527.59						
93.3100	5.24	527.24						
93.3300	5.22	527.24						
93.3600	5.22	527.31						
93.4000	5.22	527.59						
93.5700	5.23	527.59						
93.8500	5.24	527.52						
94.0900	5.24	527.31						
94.3400	5.23	527.24						
94.5200	5.24	527.45						
94.5500	5.24	527.72						
94.5800	5.24	527.66						
94.6300	5.23	527.38						
94.6900	5.24	527.31						
94.7500	5.22	527.52						
94.9100	5.24	527.79						
95.1700	5.24	527.66						
95.4300	5.23	527.52						
95.7600	5.21	527.45						
96.0300	5.24	527.72						
96.3300	5.25	527.72						
96.7000	5.24	527.72						
96.8500	5.24	527.66						
96.9100	5.21	527.79						
96.9600	5.22	527.79						
96.9900	5.25	527.86						
97.0300	5.24	527.93						
97.2500	5.22	527.93						
97.5300	5.23	527.79						
97.8200	5.23	527.66						
97.8800	5.24	527.66						
98.0800	5.24	527.93						
98.3500	5.24	527.86						
98.6200	5.23	528.00						
98.9900	5.23	528.00						
99.0700	5.25	528.00						
99.1100	5.22	528.07						
99.1400	5.24	528.00						
99.1600	5.23	527.86						
99.2600	5.24	528.00						
99.5100	5.22	528.00						
99.6600	5.23	527.93						
99.8200	5.24	528.00						
99.9900	5.23	528.00						
100.1600	5.24	528.14						
100.3900	5.24	528.07						
100.6700	5.23	528.21						
100.9500	5.24	528.14						
101.2400	5.22	528.00						
101.5100	5.23	528.28						
101.6800	5.20	528.41						
101.7300	5.24	528.34						
101.7400	5.24	528.14						
101.7400	5.22	528.14						
101.8900	5.25	528.14						
102.1300	5.24	528.41						
102.3200	5.23	528.48						
102.5300	5.21	528.34						
102.7900	5.22	528.28						
103.0600	5.21	528.21						
103.1600	5.23	528.34						
103.1900	5.23	528.55						
103.2300	5.22	528.55						
103.2700	5.21	528.55						
103.3200	5.21	528.41						
103.4100	5.21	528.41						
103.4100	5.23	528.48						
103.3400	5.25	528.62						
103.3900	5.24	528.55						
103.4900	5.23	528.55						
103.6800	5.21	528.48						
103.8700	5.26	528.55						
104.0700	5.24	528.55						
104.3800	5.23	528.62						
104.5900	5.23	528.76						
104.6500	5.23	528.76						
104.7100	5.23	528.69						
104.7700	5.23	528.69						
104.8500	5.24	528.62						
104.9500	5.24	528.76						
105.1200	5.24	528.83						
105.3700	5.23	528.76						
105.6300	5.18	528.76						
105.9500	5.24	528.76						
106.0300	5.24	528.83						
106.0400	5.26	528.97						
106.0100	5.23	528.69						
105.9700	5.23	528.69						
105.9700	5.26	528.83						
106.0200	5.21	529.03						
106.1400	5.23	528.97						
106.2200	5.23	528.69						
106.3100	5.22	528.83						
106.3600	5.23	528.97						
106.4300	5.21	529.03						
106.5800	5.25	528.97						
106.7400	5.24	528.90						
106.9100	5.22	528.97						
107.0200	5.24	528.83						
107.0900	5.21	528.90						
107.1400	5.22	529.03						
107.1900	5.23	529.10						
107.2500	5.22	529.03						
107.4100	5.25	528.83						
107.6500	5.23	528.83						
107.8400	5.22	529.10						
107.8300	5.21	529.17						
107.8300	5.21	529.24						
107.8400	5.23	529.17						
107.8500	5.24	529.17						
107.8500	5.24	529.17						
107.8600	5.23	529.31						
107.8700	5.24	529.10						
107.8800	5.22	528.97						
107.8900	5.22	529.10						
107.9000	5.22	529.10						
107.9200	5.23	529.24						
108.0000	5.21	529.31						
108.1800	5.21	529.31						
