HOLE:	1230A
LEG:	201
TOP:	87.0199
BOTTOM:	266.3947
DEPTH_WMSF	CALI
m	in
151.0279	14.1003
151.1803	14.1082
151.3327	13.6714
151.4851	13.3012
151.6375	13.2519
151.7899	13.1822
151.9423	13.1841
152.0947	13.1930
152.2471	13.1979
152.3995	13.2362
152.5519	13.2613
152.7043	13.1518
152.8567	13.0973
153.0091	12.9808
153.1615	12.9809
153.3139	12.9818
153.4663	12.9692
153.6187	12.9681
153.7711	12.9396
153.9235	12.9328
154.0759	12.9307
154.2283	12.9357
154.3807	12.8607
154.5331	12.7552
154.6855	12.7550
154.8379	12.7864
154.9903	12.8389
155.1427	12.8619
155.2951	12.8785
155.4475	12.9286
155.5999	12.9293
155.7523	12.9755
155.9047	13.1266
156.0571	12.8652
156.2095	12.8707
156.3619	12.8654
156.5143	12.8654
156.6667	12.8723
156.8191	12.8601
156.9715	12.8361
157.1239	12.8840
157.2763	12.9751
157.4287	13.2100
157.5811	13.2701
157.7335	13.3710
157.8859	13.2830
158.0383	13.2830
158.1907	13.2765
158.3431	13.2759
158.4955	13.3124
158.6479	13.3841
158.8003	13.4190
158.9527	13.4797
159.1051	13.3490
159.2575	13.3065
159.4099	13.5434
159.5623	13.3016
159.7147	13.2197
159.8671	13.2163
160.0195	13.2085
160.1719	13.2266
160.3243	13.2260
160.4767	13.2564
160.6291	13.2596
160.7815	13.2656
160.9339	13.2804
161.0863	13.2863
161.2387	13.2830
161.3911	13.5462
161.5435	13.8646
161.6959	13.9874
161.8483	13.9717
162.0007	14.1180
162.1531	14.1691
162.3055	14.6453
162.4579	15.4407
162.6103	15.5453
162.7627	15.1689
162.9151	15.1819
163.0675	15.0779
163.2199	15.0995
163.3723	15.7147
163.5247	15.7382
163.6771	15.7365
163.8295	15.7101
163.9819	14.8144
164.1343	14.5801
164.2867	14.5844
164.4391	14.6175
164.5915	14.6443
164.7439	14.6595
164.8963	14.8277
165.0487	14.9625
165.2011	14.9008
165.3535	14.9331
165.5059	14.8603
165.6583	14.4986
165.8107	14.7840
165.9631	14.9300
166.1155	14.8319
166.2679	14.5027
166.4203	14.5098
166.5727	14.5194
166.7251	14.5544
166.8775	14.5718
167.0299	14.6073
167.1823	14.6149
167.3347	14.6061
167.4871	14.6372
167.6395	14.7703
167.7919	14.8145
167.9443	14.7087
168.0967	14.5802
168.2491	14.5826
168.4015	14.5851
168.5539	14.5864
168.7063	15.8363
168.8587	16.4893
169.0111	16.0142
169.1635	15.1527
169.3159	15.4113
169.4683	15.9702
169.6207	15.3397
169.7731	15.2061
169.9255	15.2212
170.0779	15.3353
170.2303	15.4299
170.3827	15.8725
170.5351	15.7250
170.6875	15.6898
170.8399	15.5451
170.9923	15.5505
171.1447	15.5228
171.2971	15.5202
171.4495	15.5242
171.6019	15.5242
171.7543	15.4677
171.9067	15.3818
172.0591	15.4526
172.2115	15.4545
172.3639	15.4522
172.5163	15.4604
172.6687	15.5861
172.8211	15.6604
172.9735	15.6753
173.1259	15.8321
173.2783	15.5959
173.4307	15.6073
173.5831	15.5969
173.7355	15.6767
173.8879	15.9169
174.0403	15.9721
174.1927	15.9075
174.3451	16.2597
174.4975	15.8467
174.6499	15.8939
174.8023	15.9351
174.9547	15.9960
175.1071	16.0604
175.2595	16.1752
175.4119	16.2082
