HOLE:	1230A
LEG:	201
TOP:	80.1619
BOTTOM:	272.1859
DEPTH_WMSF	RHOB	DRHO	PEF
m	g/cm3	g/cm3	barns/e-
122.3767	1.5608	0.0100	2.7223
122.5291	1.5558	0.0154	2.7138
122.6815	1.5645	0.0226	2.6864
122.8339	1.5611	0.0227	2.6530
122.9863	1.5551	0.0206	2.5779
123.1387	1.5480	0.0155	2.6064
123.2911	1.5542	0.0143	2.6543
123.4435	1.5571	0.0128	2.7258
123.5959	1.5604	0.0136	2.7377
123.7483	1.5545	0.0087	2.7434
123.9007	1.5535	0.0057	2.7170
124.0531	1.5492	0.0015	2.6676
124.2055	1.5444	0.0042	2.6644
124.3579	1.5327	0.0023	2.6760
124.5103	1.5276	0.0050	2.7366
124.6627	1.5379	0.0045	2.8083
124.8151	1.5505	0.0041	2.8337
124.9675	1.5631	0.0056	2.8105
125.1199	1.5538	-0.0014	2.7289
125.2723	1.5490	-0.0028	2.7548
125.4247	1.5483	-0.0013	2.7851
125.5771	1.5502	0.0036	2.7523
125.7295	1.5618	0.0164	2.7698
125.8819	1.5816	0.0326	2.7698
126.0343	1.5811	0.0327	2.8214
126.1867	1.5695	0.0219	2.7615
126.3391	1.5492	0.0071	2.7463
126.4915	1.5467	-0.0002	2.7059
126.6439	1.5452	-0.0027	2.7119
126.7963	1.5612	0.0060	2.7081
126.9487	1.5728	0.0118	2.8142
127.1011	1.5786	0.0145	2.8138
127.2535	1.5720	0.0113	2.8763
127.4059	1.5677	0.0093	2.8430
127.5583	1.5533	0.0044	2.9473
127.7107	1.5464	0.0089	2.8658
127.8631	1.5221	0.0038	2.7524
128.0155	1.5215	0.0112	2.6873
128.1679	1.5195	0.0055	2.6926
128.3203	1.5389	0.0106	2.8050
128.4727	1.5519	0.0120	2.8144
128.6251	1.5615	0.0237	2.7739
128.7775	1.5683	0.0383	2.7217
128.9299	1.5769	0.0533	2.6500
129.0823	1.5745	0.0538	2.6865
129.2347	1.5738	0.0509	2.6979
129.3871	1.5670	0.0360	2.6951
129.5395	1.5662	0.0258	2.6664
129.6919	1.5578	0.0100	2.6329
129.8443	1.5544	0.0076	2.6098
129.9967	1.5648	0.0172	2.6578
130.1491	1.5821	0.0367	2.6795
130.3015	1.5744	0.0290	2.7575
130.4539	1.5808	0.0279	2.7756
130.6063	1.5789	0.0181	2.8317
130.7587	1.6098	0.0429	2.8312
130.9111	1.6091	0.0459	2.8211
131.0635	1.6111	0.0528	2.8474
131.2159	1.5955	0.0359	2.8994
131.3683	1.5757	0.0143	2.8636
131.5207	1.5628	0.0040	2.8119
131.6731	1.5596	0.0040	2.7723
131.8255	1.5679	0.0096	2.7978
131.9779	1.5735	0.0093	2.8660
132.1303	1.5747	0.0073	2.8598
132.2827	1.5747	0.0116	2.8720
132.4351	1.5820	0.0195	2.8556
132.5875	1.5799	0.0203	2.8593
132.7399	1.5657	0.0174	2.8991
132.8923	1.5760	0.0435	2.7955
133.0447	1.5909	0.0740	2.9021
133.1971	1.6218	0.0984	3.1590
133.3495	1.6136	0.0594	3.5784
133.5019	1.6158	0.0283	3.5631
133.6543	1.6161	0.0109	3.1950
133.8067	1.6013	0.0136	2.8336
133.9591	1.5779	0.0050	2.6581
134.1115	1.5617	-0.0007	2.6929
134.2639	1.5653	0.0061	2.7054
134.4163	1.5617	0.0050	2.7284
134.5687	1.5592	0.0069	2.6990
134.7211	1.5572	0.0098	2.7232
134.8735	1.5453	0.0043	2.7492
135.0259	1.5316	-0.0002	2.7062
135.1783	1.5220	0.0009	2.6668
135.3307	1.5085	-0.0041	2.5804
135.4831	1.5073	-0.0023	2.6351
135.6355	1.5148	0.0009	2.5882
135.7879	1.5245	0.0002	2.6737
135.9403	1.5360	0.0023	2.7008
136.0927	1.5364	-0.0015	2.7332
136.2451	1.5428	0.0054	2.7145
136.3975	1.5361	0.0006	2.7457
136.5499	1.5408	0.0031	2.7011
136.7023	1.5230	-0.0027	2.6644
136.8547	1.5078	-0.0012	2.5772
137.0071	1.4901	-0.0041	2.6754
137.1595	1.5004	-0.0018	2.7248
137.3119	1.5150	0.0012	2.7935
137.4643	1.5247	0.0023	2.7546
137.6167	1.5207	0.0049	2.7422
137.7691	1.5275	0.0083	2.7188
137.9215	1.5550	0.0271	2.7143
138.0739	1.5791	0.0432	2.7415
138.2263	1.5928	0.0568	2.7447
138.3787	1.5733	0.0451	2.7704
138.5311	1.5597	0.0336	2.7764
138.6835	1.5641	0.0264	2.7767
138.8359	1.5682	0.0154	2.7339
138.9883	1.5671	0.0127	2.7118
139.1407	1.5470	0.0081	2.6344
139.2931	1.5280	0.0114	2.6316
139.4455	1.5257	0.0113	2.6336
139.5979	1.5199	0.0071	2.7151
139.7503	1.5316	0.0122	2.7412
139.9027	1.5473	0.0229	2.7732
140.0551	1.5595	0.0293	2.7809
140.2075	1.5713	0.0325	2.8225
140.3599	1.5644	0.0210	2.7478
140.5123	1.5755	0.0272	2.7157
140.6647	1.5808	0.0237	2.6804
140.8171	1.5812	0.0183	2.7722
140.9695	1.5779	0.0085	2.8675
141.1219	1.5742	0.0083	2.8796
141.2743	1.5815	0.0162	2.8231
141.4267	1.5864	0.0225	2.7239
141.5791	1.5816	0.0197	2.6852
141.7315	1.5772	0.0178	2.7383
141.8839	1.5654	0.0092	2.7922
142.0363	1.5590	0.0042	2.8814
142.1887	1.5541	0.0014	2.8896
142.3411	1.5575	0.0036	2.8442
142.4935	1.5597	0.0038	2.8285
142.6459	1.5638	0.0049	2.7669
142.7983	1.5677	0.0074	2.8087
142.9507	1.5769	0.0120	2.8110
143.1031	1.5728	0.0086	2.8305
143.2555	1.5614	0.0007	2.7939
143.4079	1.5526	0.0005	2.7279
143.5603	1.5440	0.0006	2.6876
143.7127	1.5464	0.0084	2.6909
143.8651	1.5369	0.0058	2.7089
144.0175	1.5351	0.0121	2.7211
144.1699	1.5223	0.0048	2.7542
144.3223	1.5312	0.0054	2.7948
144.4747	1.5401	-0.0002	2.8433
144.6271	1.5542	0.0013	2.8109
144.7795	1.5532	0.0012	2.7347
144.9319	1.5404	0.0031	2.6624
145.0843	1.5316	0.0046	2.6153
145.2367	1.5261	0.0069	2.6254
145.3891	1.5305	0.0061	2.6568
145.5415	1.5362	0.0101	2.7303
145.6939	1.5367	0.0088	2.7482
145.8463	1.5338	0.0059	2.7020
145.9987	1.5270	0.0026	2.6619
146.1511	1.5244	0.0063	2.6521
146.3035	1.5198	0.0094	2.7014
146.4559	1.5285	0.0150	2.7269
146.6083	1.5413	0.0195	2.7102
