HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	64.0016
DEPTH_WMSF	DCAL
m	in
62.3252	0.3735
62.4776	0.3288
62.6300	0.2576
62.7824	0.2559
62.9348	0.2712
63.0872	0.3735
63.2396	0.3269
63.3920	0.3755
63.5444	0.3138
63.6968	0.3590
63.8492	0.3309
64.0016	0.2797
