HOLE:	1249A
LEG:	204
TOP:	0.0241
BOTTOM:	90.1839
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
5.2362	3.2670	2.6677	1.6154	4.1268	4.9527
5.2666	4.6300	2.6347	1.5240	4.3469	4.9008
5.2971	4.1216	2.8630	1.4382	4.0903	4.9215
5.3276	5.0735	3.1741	1.4888	4.9697	4.9983
5.3581	5.0779	2.8253	1.6312	4.5659	4.9629
5.3886	5.0055	2.6224	1.5248	4.4641	4.7311
5.4190	3.8731	2.8255	1.7442	4.9176	4.7378
5.4495	3.7584	2.9235	1.4495	5.0155	4.8181
5.4800	4.3460	3.3237	1.7670	6.0357	4.8387
5.5105	6.3685	2.5843	2.0578	6.5561	4.7049
5.5410	4.3736	3.5427	2.0262	6.7165	4.7134
5.5714	4.7990	3.1077	2.1094	5.2727	4.5539
5.6019	4.5363	4.5245	2.3581	5.9903	4.5358
5.6324	4.6156	4.4149	3.1626	6.2909	4.7102
5.6629	8.4156	4.6154	1.9288	6.1813	4.4773
5.6934	4.3741	6.6610	3.1151	5.3334	4.7377
5.7238	8.2096	7.4605	2.3121	8.9732	4.4879
5.7543	6.0870	6.7530	8.8801	9.9656	4.6975
5.7848	7.2059	3.1601	2.3980	7.9827	4.5848
5.8153	10.0250	6.1119	4.3702	8.9365	4.6658
5.8458	7.6610	4.2354	5.1650	8.3783	4.6210
5.8762	5.8593	7.3526	3.2009	8.4791	4.4404
5.9067	6.8404	8.5804	3.9123	10.3811	4.5564
5.9372	9.8771	9.5437	4.0195	9.6936	4.3458
5.9677	6.3505	8.5105	2.7486	11.8104	4.3849
5.9982	11.0600	10.3421	3.1401	9.3630	4.4170
6.0286	9.6779	9.9593	4.4937	18.5928	4.3184
6.0591	19.4542	10.0752	3.1948	9.8304	4.4324
6.0896	8.2433	5.8350	4.1728	10.9046	4.3072
6.1201	10.9121	9.8557	4.2720	10.9964	4.4200
6.1506	20.5887	10.2993	5.2745	11.8717	4.3790
6.1810	10.8157	11.8964	5.4113	11.8464	4.3679
6.2115	15.7795	10.3750	4.5833	14.1487	4.5204
6.2420	16.3742	10.8914	7.8422	15.0297	4.4096
6.2725	10.6301	14.5925	10.0334	17.3398	4.6072
6.3030	11.1858	15.6245	5.2107	18.4872	4.2746
6.3334	18.2986	14.5897	7.6452	16.1264	4.7108
6.3639	12.1000	14.5362	9.3886	17.3900	4.2251
6.3944	14.0419	18.2432	8.9052	15.0126	4.6148
6.4249	17.2589	12.2868	9.6925	11.7858	4.3264
6.4554	26.0053	19.9085	7.5317	12.6277	4.4900
6.4858	24.3594	22.9484	6.2403	10.5108	4.4804
6.5163	19.5740	20.4109	11.6093	7.4396	4.5941
6.5468	14.4102	18.2413	12.6602	9.0879	4.7543
6.5773	15.0869	16.4282	11.8739	11.3764	4.5272
6.6078	12.1227	17.1268	12.3164	8.0425	4.8613
6.6382	9.4174	26.1056	11.1749	7.3446	4.6554
6.6687	8.5655	25.5806	9.9209	7.1520	4.9959
6.6992	7.4563	17.2795	9.3470	7.1433	4.4645
6.7297	7.8034	19.1186	6.3436	6.3422	4.4934
6.7602	9.5143	10.0261	4.8853	7.2084	4.9928
6.7906	10.3569	7.3541	5.3094	6.3750	4.7040
6.8211	7.9309	8.0262	4.0086	5.9496	4.8465
6.8516	7.1736	14.5082	3.2715	5.9164	4.8121
6.8821	7.2336	6.7818	3.4182	6.0056	5.0010
6.9126	8.5078	6.4617	3.4345	6.1262	4.9726
6.9430	6.2706	5.3845	3.6113	6.8895	4.9121
6.9735	5.9962	4.3232	3.1307	6.0866	4.5512
7.0040	6.3240	4.2114	3.9417	5.8495	4.7218
