HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	88.2332
DEPTH_LSF	GR
m	gAPI
65.3732	65.2449
65.5256	63.7625
65.6780	68.0825
65.8304	66.7821
65.9828	66.4377
66.1352	60.5679
66.2876	60.5358
66.4400	60.2801
66.5924	58.3423
66.7448	56.3162
66.8972	52.6010
67.0496	56.2439
67.2020	57.0908
67.3544	59.6934
67.5068	61.8600
67.6592	61.3653
67.8116	59.8382
67.9640	55.6495
68.1164	56.8882
68.2688	56.7083
68.4212	56.5656
68.5736	54.2909
68.7260	54.1244
68.8784	57.7952
69.0308	59.1482
69.1832	60.6634
69.3356	58.7803
69.4880	59.8451
69.6404	58.0797
69.7928	56.6873
69.9452	55.6857
70.0976	58.1185
70.2500	58.1980
70.4024	59.7620
70.5548	57.5614
70.7072	59.0480
70.8596	58.1416
71.0120	59.2760
71.1644	58.8021
71.3168	57.6393
71.4692	58.3067
71.6216	57.9191
71.7740	56.6461
71.9264	55.7068
72.0788	55.7730
72.2312	55.9593
72.3836	56.9218
72.5360	58.2259
72.6884	59.7295
72.8408	57.8207
72.9932	56.5290
73.1456	55.6568
73.2980	56.1561
73.4504	57.1416
73.6028	59.8284
73.7552	61.2818
73.9076	60.5961
74.0600	59.0452
74.2124	60.9702
74.3648	60.0956
74.5172	61.6222
74.6696	59.2746
74.8220	61.4669
74.9744	61.5612
75.1268	60.1096
75.2792	59.6017
75.4316	57.4934
75.5840	60.6041
75.7364	61.2639
75.8888	62.9339
76.0412	62.1132
76.1936	63.3400
76.3460	61.8043
76.4984	61.5400
76.6508	59.0531
76.8032	59.7331
76.9556	61.4355
77.1080	61.2699
77.2604	61.4592
77.4128	60.6395
77.5652	60.6392
77.7176	63.0380
77.8700	61.7571
78.0224	62.8746
78.1748	61.1532
78.3272	61.3675
78.4796	60.8426
78.6320	61.0640
78.7844	61.0786
78.9368	61.2933
79.0892	60.4091
79.2416	61.4944
79.3940	60.0780
79.5464	60.2604
79.6988	58.7332
79.8512	57.7678
80.0036	57.1885
80.1560	57.0669
80.3084	58.4384
80.4608	58.9760
80.6132	58.4576
80.7656	59.7485
80.9180	60.2674
81.0704	58.8206
81.2228	58.8239
81.3752	54.7454
81.5276	53.1875
81.6800	52.5532
81.8324	55.7260
81.9848	61.4346
82.1372	62.9813
82.2896	64.2273
82.4420	63.2605
82.5944	61.5886
82.7468	59.7813
82.8992	58.2084
83.0516	58.1250
83.2040	57.8072
83.3564	56.4185
83.5088	54.8792
83.6612	54.6247
83.8136	55.4441
83.9660	56.9976
84.1184	57.1357
84.2708	57.8923
84.4232	59.1411
84.5756	59.2588
84.7280	60.0204
84.8804	59.5615
85.0328	59.7765
85.1852	58.6834
85.3376	59.6048
85.4900	60.3067
85.6424	62.0141
85.7948	61.0305
85.9472	60.3860
86.0996	60.0770
86.2520	57.5397
86.4044	56.1859
86.5568	55.7765
86.7092	56.1040
86.8616	55.7707
87.0140	53.4409
87.1664	54.1561
87.3188	57.8164
87.4712	58.3583
87.6236	58.5758
87.7760	55.1314
87.9284	56.0136
88.0808	55.8326
88.2332	58.4114
