HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	64.0016
DEPTH_LSF	RHOB	DRHO	DRRT	PEF
m	g/cm3	g/cm3	g/cm3	barns/e-
27.4256	1.5227	0.0195	0.0780	3.1766
27.5780	1.5348	0.0207	0.0656	3.0436
27.7304	1.5373	0.0217	0.0560	2.9680
27.8828	1.5447	0.0242	0.0874	2.7657
28.0352	1.5417	0.0235	0.0842	2.8068
28.1876	1.5378	0.0230	0.0494	2.9160
28.3400	1.5248	0.0197	0.0248	2.9855
28.4924	1.5193	0.0181	0.0228	3.0219
28.6448	1.5150	0.0162	0.0556	3.0800
28.7972	1.5130	0.0121	0.0896	3.0862
28.9496	1.5210	0.0105	0.1024	2.9269
29.1020	1.5301	0.0143	0.1141	3.0423
29.2544	1.5481	0.0200	0.1147	3.0846
29.4068	1.5540	0.0299	0.1336	3.4010
29.5592	1.5485	0.0248	0.1398	3.1548
29.7116	1.5422	0.0220	0.1223	3.1238
29.8640	1.5475	0.0211	0.0861	2.9882
30.0164	1.5458	0.0252	0.0621	3.1929
30.1688	1.5527	0.0295	0.0829	3.2903
30.3212	1.5514	0.0246	0.1142	3.2533
30.4736	1.5630	0.0257	0.1000	3.1040
30.6260	1.5600	0.0238	0.1039	3.0201
30.7784	1.5635	0.0281	0.0940	3.1083
30.9308	1.5625	0.0293	0.0923	3.2475
31.0832	1.5724	0.0356	0.0518	3.3487
31.2356	1.5770	0.0345	0.0363	3.2772
31.3880	1.5860	0.0348	0.0317	3.2481
31.5404	1.5842	0.0267	0.0419	3.0944
31.6928	1.5854	0.0256	0.0563	3.2514
31.8452	1.5916	0.0246	0.0666	3.3474
31.9976	1.6130	0.0353	0.0747	3.3780
32.1500	1.5984	0.0291	0.1141	3.3700
32.3024	1.5761	0.0273	0.1185	3.1591
32.4548	1.5531	0.0217	0.1195	3.4009
32.6072	1.5552	0.0288	0.0580	3.3932
32.7596	1.5563	0.0309	0.0451	3.5584
32.9120	1.5531	0.0303	0.0462	3.4489
33.0644	1.5442	0.0221	0.0766	3.3260
33.2168	1.5455	0.0216	0.0868	3.3805
33.3692	1.5513	0.0249	0.0910	3.3671
33.5216	1.5465	0.0291	0.0727	3.4525
33.6740	1.5366	0.0263	0.0656	3.3838
