HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	91.4336
DEPTH_LSF	ROP5	GRTK	B3TM	B2TM	B1TM	RTIM	RBTM	DTAB	NTAB	RPM	ARPM
m	m/hr	s	s	s	s	s	s	s	s	rpm	rpm	
10.3568	15.7656	658.9375	763.7656	793.7188	828.6719	738.8125	299.5156	6644.3594	6819.0781	24.0000	51.0000
10.5092	15.4555	663.9219	748.7969	798.7188	823.6719	718.8438	294.5156	6634.3750	6809.0938	25.9615	49.0000
10.6616	15.2821	658.9375	758.7812	803.7031	833.6562	718.8438	294.5156	6624.3750	6799.0938	29.5240	51.0000
10.8140	15.5421	648.9531	758.7812	803.7188	833.6562	718.8438	294.5312	6619.3906	6794.1094	30.0000	53.2000
10.9664	15.2406	633.9844	763.7812	803.7188	838.6562	723.8438	289.5469	6614.3906	6789.1094	32.0000	52.0000
11.1188	15.8557	629.0000	758.7812	808.7031	833.6719	718.8594	274.5625	6614.3906	6794.1094	30.4569	52.0000
11.2712	16.5250	633.9844	763.7656	813.6875	838.6562	718.8438	259.5781	6619.3906	6794.1094	24.6752	52.4000
11.4236	17.4719	633.9844	763.7812	808.7031	823.6875	723.8438	259.5781	6609.4219	6789.1250	31.0000	51.4000
11.5760	17.0387	638.9688	768.7656	793.7188	813.6875	728.8281	259.5781	6594.4375	7273.3438	28.0000	51.7500
11.7284	17.2532	628.9844	743.8125	773.7656	798.7188	723.8438	244.6094	6589.4375	7268.3438	29.0000	54.4000
11.8808	17.5840	638.9688	738.8125	773.7500	803.7031	713.8594	244.6094	6579.4531	7248.3750	29.6283	49.0000
12.0332	18.2880	653.9531	738.8125	778.7500	803.7031	703.8750	249.5938	6574.4531	7228.4062	23.7988	53.0000
12.1856	17.7548	633.9844	733.8125	768.7656	793.7188	693.8750	249.5938	6554.5000	7193.4688	29.0000	50.2000
12.3380	17.0918	633.9844	743.7969	773.7500	798.7188	713.8438	269.5625	6544.5156	7178.5000	29.0000	49.0000
12.4904	17.8706	643.9688	753.7812	783.7344	813.6875	718.8438	269.5625	6554.5000	7178.5000	29.0000	52.3333
12.6428	17.9893	653.9531	753.7969	793.7344	823.6875	723.8438	264.5781	7053.6875	7173.5000	32.6410	26.8058
12.7952	17.8720	643.9688	748.7969	793.7188	828.6719	708.8594	254.5938	7033.7188	7163.5156	33.9999	41.4000
12.9476	17.0918	638.9844	748.8125	798.7188	828.6719	713.8594	254.5938	7018.7500	7153.5312	33.6516	44.0000
13.1000	17.1991	633.9844	763.7812	808.7031	838.6562	718.8594	264.5781	6993.7969	7138.5625	33.0001	45.0000
13.2524	17.0918	633.9844	768.7656	813.7031	843.6562	728.8281	269.5781	6963.8438	7123.5781	37.0000	40.0000
13.4048	16.6770	633.9844	768.7656	808.7031	838.6562	723.8438	264.5781	6948.8594	7118.5938	32.2971	37.4000
13.5572	16.4753	629.0000	758.7969	798.7344	833.6719	718.8594	259.5938	6923.9062	7098.6250	42.0000	41.0000
13.7096	16.3292	643.9688	773.7656	818.6875	848.6406	733.8281	279.5625	6903.9375	7078.6562	40.1730	41.4000
13.8620	16.4259	663.9375	793.7344	833.6719	863.6250	753.7969	299.5312	6898.9531	7078.6562	42.0000	42.2000
14.0144	16.4259	673.9219	803.7031	848.6406	878.5938	763.7656	294.5312	6903.9375	7088.6406	36.0001	40.5000
14.1668	16.4259	678.9219	803.7188	848.6406	888.5781	763.7812	279.5625	6903.9219	7088.6250	36.0000	42.0000
14.3192	16.2313	673.9219	803.7188	853.6406	893.5625	763.7812	269.5625	6893.9531	7088.6406	35.7731	40.0000
14.4716	16.1369	678.9062	813.6875	863.6094	883.5781	763.7656	274.5469	6878.9844	7068.6719	34.0000	41.6000
14.6240	16.7267	673.9219	818.6875	843.6562	863.6250	768.7812	259.5938	6878.9688	7058.6875	37.1987	42.8000
14.7764	17.0387	673.9219	808.7031	833.6562	848.6406	783.7344	254.5938	6883.9688	7053.7031	41.0000	42.0000
14.9288	17.6975	673.9219	788.7344	813.6875	833.6562	763.7656	239.6094	6878.9844	7053.7031	25.0000	40.3333
15.0812	17.8125	673.9219	763.7812	793.7344	813.7031	743.8125	229.6406	6869.0000	7033.7344	38.0000	42.4000
15.2336	18.1068	693.8906	768.7656	798.7188	823.6875	743.8125	249.6094	6859.0000	7023.7344	35.0000	41.4000
15.3860	17.9893	693.8906	773.7656	808.7031	833.6719	743.8125	269.5625	6844.0312	7008.7812	37.0000	43.3333
15.5384	17.3077	683.9062	773.7656	808.7031	838.6562	743.8125	274.5625	6829.0625	6988.8125	38.0000	44.3333
15.6908	16.2807	673.9219	768.7812	808.7031	833.6719	733.8281	279.5625	6809.0781	6978.8125	42.0000	42.0000
15.8432	15.9957	668.9375	773.7656	808.7031	833.6719	733.8281	284.5469	6779.1250	6968.8281	34.6069	35.5000
15.9956	15.9017	663.9375	773.7656	808.7031	838.6562	738.8125	294.5312	6779.1406	6958.8438	37.6345	43.2500
16.1480	15.6307	668.9219	778.7500	823.6719	848.6406	743.7969	304.5000	6764.1719	6948.8750	34.3356	45.2000
16.3004	15.1973	663.9375	778.7500	818.6875	843.6562	743.8125	304.5156	6749.1875	6933.8906	34.0001	44.6000
16.4528	14.7883	663.9219	778.7500	818.6875	843.6406	738.8125	304.5000	6739.2031	6918.9062	28.7307	37.8000
16.6052	14.6304	648.9531	763.7812	803.7188	833.6562	728.8281	299.5156	6729.2188	6908.9375	36.8402	42.6000
16.7576	14.5915	648.9688	763.7812	808.7031	833.6719	728.8438	309.5156	6709.2344	6888.9531	35.9999	46.2500
16.9100	14.5142	643.9688	758.7812	798.7188	828.6719	723.8438	319.4844	6689.2812	6868.9844	31.0000	43.5000
17.0624	14.5142	643.9688	763.7812	803.7188	833.6719	728.8281	309.5000	6694.2656	6873.9844	30.0000	44.7500
17.2148	15.2396	638.9844	758.7812	798.7188	828.6719	723.8438	294.5312	6694.2812	6878.9844	37.9296	40.3333
17.3672	15.8568	638.9688	758.7812	798.7188	828.6719	723.8281	279.5469	6699.2656	6893.9531	34.0000	44.5000
17.5196	16.7279	633.9844	753.7969	798.7188	823.6875	713.8594	259.5938	6699.2656	6903.9375	41.9360	46.4000
17.6720	17.1453	633.9844	753.7969	793.7188	828.6719	718.8438	254.5938	6699.2656	6898.9531	41.9995	46.0000
17.8244	17.8139	628.9844	748.7969	793.7188	818.6875	708.8594	239.6094	6689.2812	6888.9688	34.9425	42.8000
17.9768	18.0471	629.0000	753.7969	798.7188	1547.5156	713.8594	234.6250	6689.2812	6883.9688	40.1563	42.4000
18.1292	18.4729	619.0000	738.8125	1502.5781	1522.5469	703.8594	224.6250	6674.3125	6873.9844	33.7439	43.2000
18.2816	18.8526	619.0000	1467.6406	1492.6094	1512.5781	703.8750	219.6406	6674.3125	6864.0000	43.0000	42.6667
18.4340	19.6642	629.0000	1462.6562	1492.6094	1517.5781	1442.6875	229.6406	6669.3125	6854.0156	42.0000	44.2857
18.5864	19.8064	643.9688	1467.6562	1507.5938	1542.5312	1442.6875	239.6250	6674.3125	6839.0469	41.0000	43.1429
18.7388	18.9832	1382.7812	1477.6406	1527.5625	1567.5000	1447.6875	254.5938	6669.3125	6834.0469	41.0000	43.0000
18.8912	18.1068	1387.7656	1497.5938	1547.5156	1562.4844	1452.6719	264.5781	6654.3281	6819.0625	39.6282	41.0000
19.0436	17.4719	1377.7812	1512.5781	1537.5312	1552.5000	1462.6562	269.5625	6639.3594	6804.0938	37.0001	42.4000
19.1960	17.0387	1377.7812	1502.5781	1527.5469	1562.4844	1477.6250	269.5625	6629.3750	6789.1250	38.0000	48.4000
